"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28"
"248","city","Boston","driving","","Massachusetts","United States",100,102.84,108.22,109.17,124.38,102.86,84.1,96.18,101.76,102.08,105.25,121.47,110.97,85.57,92.36,97.64,101.09,104.86,119.76,111.52,79.1,92.4,98.52,100.31,101.35,118.91,113.82,86.95,95.1,102.03,104.54,108.95,132.65,115.01,91.91,96.23,103.09,106.54,107.25,121.26,114.81,88.86,97.75,102.46,104.67,112.25,126.72,120.81,92.44,97.76,108.66,103.24,110.35,121.4,113.53,91.06,100.2,98.55,96.6,90.89,92.56,80.61,59.66,64.49,54.72,56.98,49.03,58.15,50.53,37.86,42.31,40.65,38.33,42.77,49.56,44.67,29.68,37.99,41.51,41.16,38.93,41.89,43.16,35.41,42.53,43.91,40.27,39.41,48.47,47.59,31.69,35.54,47.43,46.97,46.27,53.2,41.13,45.87,45.71,44.37,47.5,52.44,50.9,58.4,38.06,42.24,50.86,54.1,50.73,57.25,62.69,55.29,54.42,59.26,58.57,60.04,66.52,61.04,52.38,NA,NA,66.27,71.08,74.47,76.4,60.86,65.56,72.19,76.46,81.03,91.34,74.19,66.67,63.76,80.92,85.74,83.99,93.02,89.39,81.32,79.13,85.42,84.44,90.65,96.93,88.09,74.99,89.07,91.63,95.25,91.56,111.52,101.07,83.64,93.35,99.89,103.56,108.11,120.33,107.69,81.29,100.75,109.45,106.57,114.54,126.81,105.86,86.17,97.94,105.13,112.88,128.2,106.77,80.89,83.46,104.5,111.41,111.19,117.69,123.86,118.57,101.15,105.78,110.77,118.94,122.69,127.36,122.22,98.56,108.46,117.03,115.62,116.21,135.18,123.72,103.11,113.36,115.26,121.81,123.01,134.9,126.13,98.57,116.51,107.76,122.77,127.05,133.04,125.28,103.18,115.59,118.43,119.6,124.19,136.39,120.66,97.58,114.82,120.55,121.54,128.31,140.02,125.66,104.04,115.46,119.84,125.94,119.7,140.06
"249","city","Boston","transit","","Massachusetts","United States",100,100.59,105.25,104.49,111.98,109.27,95.06,101.35,101.06,103.02,106.54,120.9,117.23,93.79,96.13,99.03,100.64,107.32,121.19,118.27,86.04,100.45,102.22,100.18,101.07,119.03,120.94,90.87,97.37,99.9,102.97,108.57,129.43,121.9,101.62,104.72,107.78,111.2,112.32,124.86,123.07,90.72,98.85,103.5,104.59,113.24,126.75,121.56,90.25,96.94,105.92,98.23,105.63,110.78,104.82,87.85,98.17,91.27,82.99,67.58,60.01,55.73,40.6,38.33,30.97,30.1,25.85,26.2,23.17,19.83,19.95,18.96,18.18,19.53,20.19,18.9,16.24,18.84,18.78,17.36,17.07,15.84,17.64,16.11,18.3,18.38,17.65,17.14,17.16,17.21,15.27,17.35,18.3,19.35,16.55,17.61,16.55,17.71,18.3,18.15,17.89,18.5,16.91,18.82,15.58,17.92,19.41,19.37,17.9,18.7,19.67,20.99,21.99,22.21,20.76,21.58,20.38,19.95,18.7,NA,NA,22.46,22.34,22.44,22.4,21.93,24.21,24.33,24.93,25.32,27.09,23,23.07,24.37,28.4,28.09,27.28,29.2,28.5,37.42,29.48,35.12,30.64,31.63,32.19,29.87,31.25,35.01,35.36,37.16,34.23,39.62,36.98,34.64,38.4,39.87,40.96,39.89,42.74,40.88,35.9,42.03,42.54,41.56,43.57,44.89,39.86,34.06,39.28,40.91,43.62,47.22,40.82,37.36,36.4,44.05,46.87,45.32,47.71,45.94,46.75,43.12,45.47,45.37,48.76,47.92,49.24,48.38,42.09,45.72,48.51,46.19,45.59,50.4,47.9,41.47,45.5,47.86,49.51,46.92,50.5,49.12,40.9,49.29,45.39,48.24,49.11,48.57,48.6,41.71,48.65,47.89,48.67,48.27,49.76,46.3,39.8,47.65,48.93,49.46,50.39,52.72,48.89,43.26,50.75,52.83,52.8,47.64,55.48
"250","city","Boston","walking","","Massachusetts","United States",100,103.98,113.98,107.34,112.25,122.85,107.63,98.35,97.42,103.55,109.29,139.24,141.8,106.54,96.25,100.26,102.48,110.8,141.63,158.06,93.68,95.95,103.6,103.21,93.94,126.47,150.39,96.19,90.25,94.04,108.28,111.29,146.16,165.25,131.02,115.7,99.17,115.09,113.84,137.19,163.65,114.38,105.75,104.98,107.75,115.23,140.48,157.8,104.03,100,124.15,101.16,120.16,135.67,147.03,109.47,117.26,103.21,94.67,82.12,80.72,92.01,61.07,48.95,41.07,49.23,31.78,48.03,45.45,31.83,28.69,33.86,29.46,37.53,44.49,40.83,21,27.39,34.09,30.71,26.29,26.37,38.38,33.28,38.33,38.9,31.05,25.67,33.48,38.84,31.06,22.49,37.78,34.86,31.34,36.18,26.89,42.68,34.34,29.52,31.56,37.75,31.24,51.1,26.79,25.58,36.04,40.25,33.25,38.84,54.68,52.26,42.86,43.84,41.7,43.33,43.89,38.41,37.83,NA,NA,49.14,56.14,56.39,62,50.53,48.41,54.81,58.7,61.72,71.31,53.94,53.3,49.08,62.34,64.95,61.69,71.45,74.04,91.71,61.55,76.73,65.13,69.01,73.23,66.35,62.03,69.47,69.06,73.8,62.45,87.43,87.73,68.86,72.09,80.39,80.6,80.1,91.01,83.02,59.38,77.76,83.72,81.93,90.2,98.01,85.16,62.97,72.02,78.66,86.03,96.43,85.95,77.15,69.21,85,90.6,86.41,94.18,97.58,102.53,83.8,82.67,85.56,97.33,98.05,101.38,106.81,77.16,83.59,91.41,90.22,87.23,111.53,112.37,84.25,84.95,87.89,95.89,94.06,111.48,116.47,82.5,92.1,84.51,96.17,102.77,113.7,121.46,88.74,93.08,92.43,94.39,98.55,116.11,114.69,83.38,99.02,103.95,101.36,110.1,122.09,120.65,95.07,103.93,107.39,118.01,103.74,142.69
"816","city","Springfield","driving","","Massachusetts","United States",100,102.48,108.08,108.05,134.55,108.17,91.15,107.98,102.36,110.85,109.25,129.75,122.16,90.89,97.52,100.12,101.28,106.91,128.44,121.02,85.07,97.76,102.64,105.96,101.72,124.67,121.77,90.46,100.83,104.72,109.46,112.02,144.72,130.68,101.93,113.05,111.17,114.79,116.68,140.91,129.88,100.44,109.01,107.23,111.21,116.27,147.2,136.05,99.99,107.42,114.61,114.21,118.35,140.71,134.51,102.94,114.29,109.83,109.74,107.17,116.5,99.54,72.95,81.34,70.6,75.07,76.1,77.71,68.53,52.23,53.42,56.61,54.88,62.97,70.88,56.79,40.43,53.83,58.35,62.53,59.65,63.7,58.83,47.35,63.43,64.53,60.48,59.13,71.47,66.19,43.46,54.64,69.45,76.3,72.37,82.04,63.63,66.08,72.49,66.81,75.2,79.73,80.48,85.71,56.77,71.52,81.57,82.68,77.24,90.44,92.49,81.02,86.13,92.68,88.22,94.18,100.43,93.66,76.75,NA,NA,102.64,104.61,112.21,112.79,89.05,103.23,112.09,117.12,119.81,134.68,112.77,101.65,96.51,120.39,125.99,123.52,137.5,128.65,106.39,119.37,124.1,133.87,136.78,144.85,134.35,111.58,130.57,134.1,134.56,126.4,154.06,139.83,116.04,133.9,152.1,147.45,146.32,160.9,142.79,115.25,137.65,146.39,146.3,152.22,168.78,146.82,121.2,138.36,145.54,152.35,163.04,149.23,118.38,118.58,145.66,147.77,149.99,157.71,161.81,153.43,129.59,144.09,149.27,153.21,157.2,165.57,154.51,128.57,146.91,152.05,150.76,155.73,174.79,158.11,132.31,148.94,154.77,158.92,159.63,170.24,159.38,123.16,153.12,136.64,166.92,172.71,182.78,166.3,135.89,151.01,155.6,155.94,160.9,179.43,162.46,126.93,151.61,156.39,153.06,162.99,179.57,163.35,134.83,145.45,150.36,155.54,145.32,177.55
"817","city","Springfield","transit","","Massachusetts","United States",100,96.03,107.17,106.59,109.79,84.11,77.33,101.55,112.02,117.73,118.7,125.19,93.31,82.46,113.28,118.02,111.53,114.92,116.86,109.4,72.29,107.46,112.4,110.95,100.48,112.02,91.86,87.98,108.04,100.48,110.47,107.07,120.25,93.02,89.63,112.89,110.56,111.92,106.59,112.4,102.52,81.1,118.51,109.88,98.74,104.17,135.08,96.51,82.56,122.09,113.28,99.42,98.74,113.37,110.08,78.68,121.61,109.79,106.4,94.86,100.39,76.45,58.82,70.74,52.23,65.79,47.58,52.03,57.07,39.53,44.38,49.71,46.51,43.22,44.77,38.18,31.88,35.27,41.86,38.28,36.43,38.08,28.59,28.1,41.09,42.93,38.08,35.17,35.08,34.21,31.4,28.78,37.21,35.56,29.07,35.56,28.78,36.34,33.14,31.3,37.79,34.11,30.14,38.86,31.88,40.7,43.51,42.83,36.82,43.8,41.18,46.41,43.7,43.41,45.25,48.55,43.7,42.64,35.37,NA,NA,53.49,45.64,51.45,47.48,49.22,49.32,47.38,58.91,56.78,60.08,52.52,42.73,49.22,62.4,66.96,55.52,60.08,58.24,47.67,53.59,62.31,65.5,68.12,59.59,56.4,58.62,72.09,69.86,59.59,65.31,65.5,68.7,62.6,78.59,74.42,69.77,82.75,80.81,65.21,59.79,78.97,82.56,75.19,80.14,78,56.88,59.01,80.33,77.62,83.91,88.95,78.97,60.27,67.73,94.57,95.06,86.14,87.4,83.82,76.84,85.17,78.39,83.24,84.5,86.05,93.22,76.26,69.77,70.06,74.52,76.94,83.33,82.56,78.2,72.58,85.66,77.33,86.43,80.52,80.72,79.94,59.01,87.69,73.93,74.03,90.41,86.92,81.78,75.68,73.06,92.64,85.37,78.49,77.91,72.48,65.7,82.75,80.43,72,72.29,91.09,79.65,74.61,81.1,85.08,78.78,71.41,87.98
"818","city","Springfield","walking","","Massachusetts","United States",100,103.28,109.17,111.38,148.71,123.46,94.9,96.97,101.82,104.04,100.73,144.61,134.51,82.97,96.84,104.7,101.61,102.43,126.74,130.68,89.38,100.3,105.83,106.1,98.63,121,121.27,83.67,104.16,100.7,107.37,107.74,139.48,138.03,106.59,110.35,117.42,113.75,114.57,145.31,138.76,101.27,113.72,106.43,111.56,107.56,168.19,156.33,96.66,107.89,128.1,113.84,128.29,129.56,145.71,102.06,126.49,120.88,115.27,113.38,119.42,103.64,93.29,89.14,78.15,95.2,74.23,89.86,82.73,66.77,59.73,65.34,64.61,80.55,92.47,68.25,51.44,62.09,69.32,77.39,77.45,73.23,70.68,61.27,81.67,80.85,73.63,66.1,81.91,76.27,56.18,63.31,82.34,83.95,80.76,90.38,66.22,81.37,80.82,67.65,78.09,91.81,82.31,97.18,66.89,71.84,86.68,97.81,75.66,95.93,106.34,103.64,101.34,102.34,91.05,97.85,100.91,100.97,88.29,NA,NA,117.63,117.06,126.1,142.91,116.18,127.34,139.45,152.81,145.64,165.68,136.51,123.4,113.75,152.2,146.19,138.15,153.78,150.38,119.3,146.4,158.66,197.66,157.63,171.14,159.88,125.61,156.42,152.87,150.26,136.69,168.38,151.2,131.93,152.63,155.42,160.73,162.88,176.08,158.09,125.31,153.57,158,166.89,165.89,190.5,164.43,130.29,156.97,167.83,188.04,182.55,168.44,143.7,126.98,156.69,169.5,168.62,165.55,178.48,175.63,143.98,168.19,164.64,166.65,179.33,181.64,166.56,133.78,164.92,170.77,160.94,165.13,189.1,174.72,141.12,167.13,169.71,184.28,176.51,191.11,169.65,133.51,175.87,149.23,176.75,202.64,216.15,188.04,155.81,174.81,180.76,181.79,191.2,200.91,179.45,148.83,172.59,188.77,176.05,190.83,197.51,191.41,144.49,163.58,176.57,198.21,172.93,210.53
"932","city","Worcester","driving","","Massachusetts","United States",100,106.8,108.53,109.14,128.28,103.43,88.07,104.89,103.1,103.93,107.28,125.56,117.26,89.07,95.78,98.02,101.99,106.02,124.42,116.75,83.65,94.21,98.91,101.48,97.18,120.85,119.76,90.19,96.7,103.03,107.3,109.41,138.76,123.14,100.02,104.41,107.13,114.42,114.45,131.2,125.07,94.41,102.09,104.72,111.65,113.49,134.79,130.94,99.94,100.19,111.58,108.35,113.44,127.66,126.83,99.04,104.33,106.22,103.34,99.86,107.32,92.72,69.79,71.25,61.53,64.96,58.83,67.5,57.66,44.54,49.43,46.22,44.07,50.74,58.12,50.22,35.1,44.89,48.49,49.41,46.47,50.73,48.69,40.08,50.59,50.97,48.18,47.19,58.58,54.4,35.14,43.52,55.5,56.88,56.27,64.29,47.56,52.55,56.94,54.68,60.07,63.5,63.48,69.08,45.16,54.52,63.83,66.82,61.19,71.26,72.8,63.85,67.14,70.93,70.51,72.98,80.82,73,62.12,NA,NA,82.99,85.23,90.38,93.01,73.9,79.84,87.67,92.81,98.16,110.34,90.87,81.51,76.73,98.96,101.17,100.51,110.49,103.55,89.94,98.93,97.43,101.63,106.7,114.6,105.8,88.57,104.39,110.51,111.67,107.53,127.47,118.24,100.49,110.08,119.55,118.59,122.72,131.92,121.65,96.09,116.12,125.1,124.43,131.15,145.41,122.67,102.44,115.64,120.83,126.38,143.07,125.86,95.62,101.74,124.02,130.19,126.58,134.61,141.88,136.2,112.5,123.46,126.12,131.72,139.61,147.04,137.58,111.79,125.6,132.24,129.9,133.78,151.08,142.78,120.3,131.24,132.04,135.95,139.37,150.15,145.01,112.16,133.9,118.34,140.79,144.36,153.16,143.22,125.83,133.55,133.26,136.66,138.55,157.32,142.81,114.98,134.67,141.25,140.72,147.68,164.36,147.24,119.89,133.74,136.22,140.99,133.63,160.68
"933","city","Worcester","walking","","Massachusetts","United States",100,110.43,106.12,107.56,125.87,114.75,96.22,91.63,98,104.59,115.31,139.11,135.3,91.97,96.81,104.59,105,101.72,143.96,138.3,86.35,96.34,107.56,106.22,95.97,125.96,135.93,87.91,92.72,97.19,107.15,108.59,140.17,144.49,100.78,109.18,105.81,119.18,115.84,133.71,155.73,107.81,106.15,106.97,110.09,108.97,143.33,148.86,103.41,115.53,132.86,111.12,118.03,127.24,139.64,108.37,130.55,113.06,112.84,100.09,98.09,101.81,78.19,75.07,65.89,78.44,61.57,72.54,71.98,53.08,54.2,53.86,49.89,64.67,72.85,59.7,38.93,46.33,60.17,57.01,50.98,51.7,58.04,52.61,65.32,71.76,56.08,54.26,59.48,68.92,45.05,46.58,65.23,60.36,56.36,72.98,54.92,61.32,61.45,56.76,67.39,68.7,71.32,77.04,54.11,50.73,76.66,75.26,58.23,74.07,79.44,73.82,72.88,82.97,73.66,82.1,80.79,69.7,67.42,NA,NA,91.85,99.66,103.78,107.25,80.82,88.78,105.44,109.72,114.93,127.84,97.44,105.78,86.1,110.31,108.22,112.21,110.93,119.09,104.4,139.27,116.21,110,115.81,118.43,116.65,93.91,121.59,121.34,124.18,104.94,135.71,124.43,102.91,122.09,123.62,126.9,123.93,145.55,120.77,104.31,129.15,141.99,131.65,141.74,154.14,127.24,106.97,124.43,127.34,132.24,161.92,126.15,109.9,106.15,135.15,139.8,133.68,142.58,154.01,138.93,115.78,122.52,125.46,141.58,139.68,148.17,140.55,109.68,128.93,140.92,144.86,137.58,160.32,147.58,122.37,133.8,143.42,138.86,153.76,161.36,148.67,106.9,130.49,127.68,143.27,162.7,165.95,145.39,112.87,131.08,148.23,148.7,146.11,165.73,152.01,120.99,139.64,154.67,157.36,165.07,179.48,167.26,131.62,155.26,155.36,160.14,143.67,195.94
"1628","county","Barnstable County","driving","","Massachusetts","United States",100,101.94,107.62,102.39,114.06,108.18,92.72,99.43,97.11,96.34,100.98,110.71,107.53,83.22,94.07,99.01,98.66,99.29,112.54,108.81,75.23,96.93,98.97,97.74,94.4,112.45,116.92,83.99,95.26,96.36,104.83,101.3,124.28,128.29,109.29,117.95,108.94,111.77,114.3,128.2,131.57,105.94,104.36,100.98,104.23,103.75,119.78,122.1,94.02,100.84,112.6,107.07,111.56,122.42,115.39,106.79,109.86,108.15,109.4,107.33,106.71,110.83,81.35,90.56,74.02,88.15,69.45,82.78,79.26,59.05,62.16,62.79,59.72,70.35,78.49,76.29,45.97,60.84,65.68,66.81,58.38,58.27,62.9,57.41,74.25,77.93,66.97,63.97,81.23,80.36,49.88,55.86,83.43,74.39,81.93,89.77,66.98,82.23,79.95,79.09,87.3,89.88,79.58,113.8,60.4,73.86,87.13,102.47,90.46,94.44,125.73,101.95,101.42,112.78,108.63,112.48,126.72,112.03,96.16,NA,NA,131.23,142.03,143.95,165.67,127.12,125.09,136.83,149.54,168.45,215.79,175.06,185.18,180.31,174.8,182.1,177.35,174.29,183.4,172.57,165.83,169.69,167.46,208.83,200.02,207.04,188.97,203.73,209.32,204.16,201.71,257.04,294.43,251.98,227.29,231.6,249.54,273.11,345.44,373.61,314.25,286.74,294.78,306.75,313.76,360.64,373.41,342.33,308.08,310.07,334.89,451.1,515.52,481.31,561.99,415.54,359.2,351.53,366.02,383.19,409.17,408.92,361.19,352.1,378.31,371.81,419.05,529.13,504.67,393.09,381.44,447.68,372.21,437.36,505.83,464.82,406.26,387.62,396.04,389.45,432.55,519.92,419.17,402.27,346.69,366.47,394.66,429.73,488.19,455.75,420.39,396.39,395.71,397.8,427.37,497.07,455.93,371.62,365.19,383.32,390.05,439.11,486.69,430.89,353.59,331.73,354.02,329.96,365.27
"1672","county","Berkshire County","driving","","Massachusetts","United States",100,100.89,103.21,103.27,138.61,133.14,130.3,128.86,95.64,101.58,104.54,129.93,131.27,106.41,93.23,91.64,95.12,105.06,132.35,142.01,103.39,98.52,97.25,95.27,90.64,116.4,138.59,118.8,94.23,97.09,105.53,104.46,149.06,186.16,164.7,151.98,124.09,129.52,131.31,156.57,164.53,129.35,104.9,102.6,99.95,103.36,135.17,153.11,126.5,99.92,102.27,100.76,107.3,134.17,146.53,124.41,102.94,97.96,96.09,92.7,104.15,106.21,93.66,77.14,68.03,73.03,66.1,74.64,74.88,60.91,50.86,55.99,50.08,61.72,70.49,58.57,42.99,54.65,58.24,60.45,54.4,59.59,60.41,51.42,66.14,64.46,56.62,56.73,66.83,68,43.63,53.67,66.67,65.16,65.92,76.98,59.39,73.67,64.11,60.58,69.13,71.86,76.21,93.09,53.63,64.13,76.53,74.22,69.33,81.44,95.02,87.74,80.31,83.82,81.66,88.84,91.78,85.2,73.41,NA,NA,94.78,97.41,98.08,122.28,92.36,95.44,105.3,108.83,113.37,131.83,120.93,123.85,114.4,120.88,128.51,117.14,131.29,134.6,120.33,116.42,120.98,118.06,128.92,139.48,151.07,128.26,130.18,134.6,135.02,132.86,167.24,167.65,144.81,141.71,152.23,149.26,159.45,183.9,176.75,146.47,149.57,159.83,155.14,168.97,189,175.47,159.9,157.6,157.52,166.21,204.8,206.49,180.78,193.89,191.75,172.22,170.49,185.86,196.2,197.06,189.12,179.07,181.45,181.66,182.67,214.3,235.54,205.36,190.68,186.9,180.3,184.08,224.78,238.05,205.38,193.7,185.19,195.12,194.05,228.11,238.52,201.36,198.35,160.27,214.85,212.92,232.7,245.41,218.32,201.97,190.89,199.25,208.55,233.77,250.08,214.07,203.59,198.91,198.14,208.74,240.48,253.07,214.05,186.38,183.16,194.2,174.73,220.02
