"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12"
"2206","county","Belknap County","driving","","New Hampshire","United States",100,99.11,103.2,91.94,143.94,154.3,149.35,138.52,101.69,102.56,111.01,141.94,161.64,126.49,94.69,93.23,98.96,105.8,147.29,174.74,128.18,91.8,99.51,108.35,78.02,132.32,173.91,150.41,99.63,114.9,109.07,98.56,149.4,193.7,174.9,158.73,115.91,137.89,141.68,167.85,197.12,154.75,109.12,109.71,111.65,105.26,150.24,165.3,143.52,96.23,108.68,101.19,108.94,129.42,154.2,128.37,103.54,105.36,110.38,103.07,107.54,120.57,104.04,83.44,74.55,76.88,63.47,77.9,78.89,64.38,56.3,52.04,63.13,69.25,81.16,84.88,47.95,56.09,64.24,67.95,57.57,65.55,76.9,65.28,71.33,70.16,65.67,58.51,83.22,83.25,60.03,59.15,77.38,77.79,82.38,90.71,83.97,99.38,81.21,73.93,83.97,96.06,96.24,132.74,74.84,73.73,94.25,104.79,85.77,103.72,134.08,134.17,97.72,104.58,107.66,113.65,123.07,101.94,98.41,NA,NA,132.22,136.6,140.52,188.05,146.92,129.54,134.99,146.02,172.56,241.26,232.76,220.84,188.32,157.33,168.05,165.43,183.1,207.23,189.05,143.6,151.97,152.98,174.37,220.59,243.55,214.18,183.67,176.98,182.21,167.26,243.64,266.91,240.64,181.46,192.29,205.43,217.65,285.5,314.84,270.28,213.98,213.41,205.82,246.79,298.31,310.14,271.32,229.79,209.62,230.06,317.37,407.16,411.48,457.94,312.51,277.55,252.61,283.32,309.07,310.23,322.73,240.5,227.66,269.59,274.07,328.08,412.98,422.88,285.68,287.85,261.96,267.46,372.44,435.57,404.96,289.39,266.35,288.11,291,340.15,424.56,405.45,297.47,239.03,272.56,306.07,365.75,394.17,402.2,301.44,289.51,286.12,294.72,357.99,418.51,377.75,283.4,274.18,291.5,299.01,354.25,414.23,376.76,276.56,261.61,259.73,260.65,325.82,285.63,331.58,224.56,218.41,207.43,228.2,361.07,392.77,389.39,419.77,222.9,203.65,203.89,256.55,309.24
"2394","county","Carroll County","driving","","New Hampshire","United States",100,94.61,93.78,84.32,184.44,240.6,229.11,187.47,91.5,83.1,94.2,166.66,222.91,176.67,85.52,79.3,84,92.1,153.44,202.35,170.9,95.07,86.88,88.17,74.42,158.16,213.98,197.84,98.76,102.92,92.54,91.11,189.45,292.68,281.4,250.11,169.67,182.55,190.84,237.83,264.52,221.94,123.51,114.69,103.78,101.56,193.67,233.18,201.8,92.93,90.7,85.77,104.63,146.81,193.35,175.11,99.77,91.53,92.01,84.41,113.19,145.84,122.33,73.61,54.75,65.16,54.23,61.96,78.38,62.67,41.26,40.23,47.2,50.24,58.72,67.85,38.5,40.99,50.45,46.03,42.97,54.23,63.5,50.61,54.27,55.68,55.31,45.4,53.95,62.67,45.84,42.23,56.46,54.83,58.41,66.41,66.5,84.06,63.43,58.49,61.61,70.66,73.22,101.11,60.56,51.78,69.29,75.41,63.21,72.88,104.61,102.23,71.8,74.81,82.23,85.43,91.59,81.16,84.55,NA,NA,88.85,100.25,118.38,162.65,133.18,101.79,102.65,120.42,133.22,200.67,236.87,219.92,182.55,137.07,136.45,142.64,158.56,184.06,169.93,118.54,114.48,120.61,147,197.83,233.85,221.02,163.53,151.94,162.05,158.09,244.78,301.31,268,177.46,185.79,196.91,220.35,293.57,348.36,300.69,218.54,214.16,211.12,262.35,330.03,371.13,332.15,227.52,226.18,248.17,354.85,487.47,467.12,598.3,359.45,315.01,292.22,307.39,361.83,395.74,396.5,301.36,273.89,312.13,332.44,423.99,530.32,546.05,363.18,352.34,314.85,348.88,473.1,561.22,555.4,372.51,354.91,366.57,378.72,450.66,551.35,532.65,379.88,308.43,341.63,402.92,476.79,569.67,570.48,406.7,381.62,384.76,385.36,490.86,569.42,558.76,386.28,378.22,371.63,389.16,489.59,568.53,553.95,349.11,322.29,338.08,327.15,416.78,408.13,431.89,271.47,236.95,235.67,272.25,428.81,544.74,572.51,578.82,237.42,220.77,225.21,319.52,407.5
"2466","county","Cheshire County","driving","","New Hampshire","United States",100,96.02,101.35,96.47,132.44,110.86,112.57,121.01,106.84,104.13,114.09,140.88,148.27,130.36,101.82,98.54,108.59,113.73,145.51,153.92,112.67,104.19,110.86,113.8,90.06,121.43,171.75,156.22,113.54,120.84,110.39,102.18,161,162.4,143.82,131.4,110.22,125.58,125.54,154.13,162.44,140.1,109.63,116.69,114.3,122.92,162.97,161.95,136.22,108.44,114.62,118.64,122.9,136.88,152.46,135.76,116.99,110.81,114.3,113.92,120.82,107.07,87.45,79.03,67.48,77.76,68.79,78.97,81.85,75.1,57.85,56.31,60.11,67.9,73.08,72.22,45.34,53.64,64.16,65.51,59.31,61.51,70.23,56.77,67.8,67.2,67.08,58.65,74.48,77.83,51.57,55.25,75.05,69.68,75.79,85.06,74.54,95.32,75.2,73.38,78.71,81.29,86.42,114.37,67.18,75.26,85.1,85.32,75.27,90.2,120.46,109.54,89.91,106.54,99.92,99.56,113.88,108.74,84.76,NA,NA,117.12,119.11,128.71,149.64,121.46,111.19,121.2,121.24,137.13,157.85,161.28,150.44,130.47,142.97,142.87,131.72,143.55,163.99,144.94,130.7,131.72,133.47,143.8,162.8,171.81,149.83,135.93,149.58,145.03,147.12,175.39,193.17,165.66,149.34,158.53,160.35,160.86,192.79,207.62,170.29,158.7,162.84,160.47,174.93,204.11,218.62,183.71,157.57,164.69,171.14,214.81,233.85,199.98,199.72,174.02,180.93,167.46,181.46,191.18,201.88,189.93,158.32,169.95,168.89,183.35,189.59,238.45,196.76,170.31,173.7,160.13,174.54,220.16,248.39,200.95,180.62,177.82,185.99,194.92,230.58,253.68,206.71,175.77,159.56,191.09,197.44,212.06,236.8,202.28,181.21,180.47,177.02,192,226.66,248.75,218.22,201.16,197.65,190.58,194.27,227.68,250.68,220.1,173.38,187.43,204.85,168.49,212.61,213.59,236.41,174.63,172.7,165.87,185.65,248.39,263.14,226.83,199.81,179.12,182.42,187.64,227.53,249.81
"2593","county","Coos County","driving","","New Hampshire","United States",100,106.82,103.07,90.17,153.67,176.34,159.46,166.92,101.79,111.97,106.19,148.58,173.92,152.98,96.59,94.1,98.96,111.16,160.38,171.43,151.13,102.02,101.68,101.33,102.08,137.13,195.78,191.44,116.31,107.63,105.67,124.47,157.32,219.43,215.56,187.39,133.6,136.67,149.16,185.48,220.76,197.17,124.93,120.65,114.98,111.97,167.96,195.37,176.58,100.52,98.61,93.18,106.54,154.42,180.74,178.14,98.32,94.56,93.93,96.76,115.1,128.46,115.79,77.79,66.34,63.79,57.95,62.06,67.38,67.44,44.01,43.9,48.87,54.48,56.56,63.5,39.68,41.7,41.41,48.41,47.19,53.09,62.35,52,50.61,48,48.47,49.1,46.96,53.9,42.51,46.27,58.36,51.07,57.89,60.21,68.48,64.72,61.42,54.19,56.56,55.06,60.27,87.68,56.91,49.86,61.54,73.57,69,74.44,93.35,85.19,66.51,69.64,77.79,84.56,85.71,87.62,68.77,NA,NA,85.08,83.98,87.85,124.75,106.48,97.98,102.14,123.13,118.85,168.42,210.06,195.78,177.96,120.13,132.91,126.6,126.49,162.35,132.79,102.43,120.3,108.44,137.48,165.99,180.97,179.99,161.02,141.47,153.79,146.5,197.63,240.78,233.31,161.71,175.01,175.13,204.28,235.45,313.65,258.18,211.34,194.74,192.13,227.53,289.71,350.2,290.23,186.35,194.79,230.94,291.09,351.13,381.72,399.02,299.71,265.18,241.3,274.61,308.04,293.41,296.07,243.38,228.92,261.31,280.45,335.86,485.02,425.04,297.74,299.07,268.48,293.58,386.12,494.97,427.53,289.53,292.65,312.32,313.07,365.64,478.48,433.6,295.03,250.55,287.51,344.3,410.18,497.8,469.75,359.8,351.42,340.37,359.22,447.02,510.53,484.27,337.71,337.3,348.29,358.82,411.16,472.93,427.59,292.89,278.83,318.1,300,355.7,357.43,332.27,247.37,252.05,232.62,281.26,410.18,555.87,538.46,466.74,250.38,245.58,245.4,296.59,437.59
"2951","county","Grafton County","driving","","New Hampshire","United States",100,105.67,104.08,101.64,171.17,189.33,159.79,171.98,101.44,100.08,107.87,166.1,200.62,143.25,90.49,96.69,100.33,108.72,161.38,197.6,130.85,93.9,97.03,95.9,93.72,149.42,205.74,168.14,104.91,113.76,109.16,105.03,178.89,235.45,187.96,197.71,135.82,149.82,157.57,189.95,216.26,160.01,111.57,112.28,109.79,112.43,174.98,202.59,153.42,98.94,95.81,96.41,109.81,147.31,163.4,137.64,92.96,89.48,90.49,87.67,103.39,101.48,92.34,71.59,62.41,59.23,51.89,55.71,60.67,53.05,42.55,39.78,44.08,47.71,52.23,54.46,32.4,38.14,43.37,42.1,38.63,42.83,51.19,40.16,45.46,46.08,44.83,38.23,43.82,50.96,37.23,40.16,50.57,48.21,49.78,53.68,54.99,63.06,55.8,45.6,52.46,59.33,60.53,79.77,46.46,47.42,57.45,65.48,55.6,61.57,82.06,71.43,62.43,64.32,64.8,72.68,77.12,68.42,58.14,NA,NA,78.07,84.34,84.74,114.34,89.49,81.18,87.27,95.63,100.41,133.94,142.4,130.35,112.29,99.61,101.76,100.53,107.15,118.63,112.13,96.07,99.12,101.99,112.49,138.66,143.97,137.07,118.56,118.67,120.05,110.26,160.62,181.4,159.75,136.56,134.64,140.3,145.2,181.96,199.63,168.13,150.13,146.21,143.95,165.11,197.5,206.79,173.5,148.96,143.56,162.1,201.26,246.77,245.12,259.93,199.45,183.73,171,189.53,213.22,209.92,207.58,173.89,165.8,176.97,197.81,230.07,283.14,270.95,198.54,206.4,187.23,194.68,260.04,290.96,272.13,208.51,192.28,197.9,209.97,255.7,292.36,276.02,214.78,167.55,202.02,228.8,265.91,292.66,285.44,226.88,210.52,212.86,225.05,275.43,307.08,280.49,220.88,211.42,223.75,238.61,275.82,307.71,281.82,218.26,202.45,220.05,208.89,244.21,216.87,234.69,177.61,171.16,161.61,186.37,278.44,326.81,311.55,291.73,188.18,182.31,181.26,234.81,276.15
"3113","county","Hillsborough County","driving","","New Hampshire","United States",100,105.31,107.25,108.02,128.12,115.02,93.26,108.16,100.3,102,107.7,128.72,129.38,93.89,96.86,99.78,102,104,125.78,129.23,90.37,96.65,105.27,105,98.71,120.74,140.78,111.16,123.47,130.16,109.55,102.59,142.06,137.03,106.98,110.29,101.2,116.11,115.59,132.52,130.79,102.86,103.44,105.22,108.24,109.13,126.88,127.25,98.58,100.92,105.17,105.15,111.55,122.28,133.94,104.73,107.36,107.34,107.1,100.31,105.18,104.44,78.01,77.89,69.93,71.11,63.1,74.37,68.18,52.45,53.49,55.49,56.67,62.28,72.24,60.45,41.19,52.66,57.84,57.36,56.18,60.72,62.68,50.07,61.73,64.82,59.68,57.12,70.64,72.38,44.14,53.52,66.95,67.86,67.92,77.54,64.39,69.01,70.63,64.65,72.56,77.87,78.81,89.05,59.35,65.96,76.48,82.66,74.98,86.14,93.56,82.75,80.21,84.56,85.83,90.6,99.36,91.41,74.44,NA,NA,101.15,105.84,112.74,121.8,96.9,99.19,109.9,115.07,121.88,138.81,124.33,107.38,100.48,118.16,124.41,124.08,138.44,141.53,115.95,117.87,126.97,126.68,132.15,150.52,148.15,125.42,130.69,133.14,135.06,132.42,158.78,149.88,125.08,134.79,142.17,147.38,149.89,169.28,155.02,118.81,140.06,146.3,145.27,157.31,170.08,160.03,130.76,134.93,143.41,153.67,169.94,160.4,121.55,125,142.05,149.3,150.53,157.46,169.96,162.65,135.74,138.84,144.79,157.22,161.98,175.02,173.85,139.42,144.78,152.66,149.65,154.52,182.86,169.15,138.68,147.45,150.63,157.94,163.05,179.2,176.89,141.79,150.33,138.07,157.75,164.15,181.71,175.64,145.1,152.53,153.39,158.46,162.52,184.29,174.8,141.94,150.31,156.36,158.6,164.57,182.03,176.05,145.1,148.84,149.07,154.36,155.05,180.19,153.46,139.65,143.95,148.12,140.44,157.69,189.62,170.68,142.17,133.64,144.36,145.28,148.73,175.79,182
"3116","county","Hillsborough County","walking","","New Hampshire","United States",100,110.92,110.38,106.58,136.56,141.56,100.95,106.16,101.99,104.59,114.72,157.4,191.23,107.07,101.82,97.81,106.53,110.67,134.12,186.31,101.08,100.45,111.91,116.91,107.15,134.62,226.8,140.03,239.62,179.82,110.59,105.79,183.04,151.08,104.84,107.28,88.34,115.88,120.72,138.83,141.15,108.02,111.62,115.84,107.82,109.47,136.27,152.69,98.51,98.59,120.22,112.37,117.82,126.76,158.02,104.18,118.57,111.12,109.8,99.59,106.87,125.89,86.77,98.64,80.85,90.41,65.92,85.24,82.71,65.76,58.4,62.49,60.59,81.93,89.12,83.17,50.62,58.15,74.28,68.57,66.79,66.5,84.78,69.64,85.57,84.08,73.9,64.93,78.78,85.19,60.38,61.12,80.27,81.22,74.73,87.92,66.29,85.32,77.96,72.91,68.78,84.33,77.58,107.53,68.9,75.23,80.31,92.85,74.19,104.38,116.83,100.54,95.74,98.47,105.67,117.66,102.48,104.47,96.36,91.36,81.06,121.22,146.53,147.85,150.08,130.23,124.48,133.33,161.33,156.58,171.38,147.02,137.3,121.75,151.57,155.87,152.73,163.81,192.39,135.19,154.92,187.51,147.6,172.13,189.45,193.96,141.32,161.41,162.7,159.14,159.31,189.87,176.8,140.41,161.91,181.8,179.4,173.82,196.15,161.7,132.46,166.09,184.41,179.16,197.02,203.8,205.67,172.83,170.35,175.31,186.27,195.62,186.85,142.27,149.46,158.81,188.38,177.38,183.09,190.03,182.18,156.04,167.33,171.09,184.86,194.17,199.92,194.42,145.45,166.25,162.16,173.74,180.73,212.24,190.2,149.42,165.43,177.01,187.84,190.03,209.51,194.58,147.35,171.17,160.5,191.85,191.69,210.46,199.05,164.81,171.01,164.39,175.1,188.5,216.71,209.64,146.82,167.66,183.33,183.62,184.82,219.11,220.26,150.21,173.33,170.97,188.46,180.85,216.58,183,159.51,171.84,188.3,157.44,178.87,222.29,216.58,163.44,143.76,180.11,167.87,156.04,206.58,234.99
"3634","county","Merrimack County","driving","","New Hampshire","United States",100,102.66,105.74,99.51,152.13,128.08,115.34,148.1,100.83,99.5,107.59,142.32,131.61,115.09,94.9,95.55,101.05,107.1,143.11,135.64,109.24,92.55,99.78,103.7,83.18,122.16,143.57,148.08,103.91,118.2,109.26,92.76,153.79,150.47,125.92,131.48,105.75,118.56,118.38,157.06,144.64,131.39,110.26,102.62,106.86,107.09,142.59,133.84,132.28,99.64,101.11,102.97,111.2,132.95,132.53,116.15,100.4,101.87,102.55,98.54,109.47,105.21,81.78,76.65,66.3,67.3,59.03,69.35,63.24,51.18,49.87,48.93,52.63,56.22,67.87,58.16,37.57,47.99,52.23,54.25,52.22,56.13,55.35,47.32,55.26,57.38,54.7,51.32,61.84,64.02,40.78,50.44,60.7,63.44,61.2,69.07,61.22,66.94,63.38,60.68,66.17,73.39,71.98,84.86,56.55,60.19,71.98,77.64,69.64,76.91,87.33,81.58,74.01,80.42,82.71,82.82,92.77,81.04,70.93,NA,NA,96.18,100.66,104.34,115.28,88.54,89.41,98.77,107.15,114.57,137.56,123.18,108.1,100.7,108.62,115.59,113.77,127.39,128.8,108.09,106.38,110.78,109.93,124.28,137.05,140.85,118.13,120.87,119.25,127.46,124.25,154.83,147.9,129.83,126.58,135.88,135.1,143.77,169.48,153.7,134.13,138.34,142.61,137.88,150.4,173.88,159.5,135.66,140.56,136.11,146.91,190.25,196.23,146.32,202.56,157.72,150.54,144.45,162.62,182.04,169.46,161.71,141.11,137.32,153.48,159.97,191.22,198.02,182.45,149.14,159.06,150.98,155.97,207.87,196.86,183.91,148.47,150.97,154.92,165.45,194.05,204.16,208.63,157.71,135.31,162.51,167.35,204.78,191.19,190.83,164,161.88,166.72,165.47,204.26,201.09,187.95,155.25,158.1,162.27,173.61,206.99,197.19,189.24,151.69,145.96,155.79,150.91,190.11,148.42,176.57,145.7,147.23,140.69,157.93,225.92,191.17,167.06,220.69,147,143.78,145.51,180.24,191.77
"4096","county","Rockingham County","driving","","New Hampshire","United States",100,103.25,108.39,104.72,130.49,115.47,93.29,114.81,99.89,101.08,103.24,126.72,126.62,98.58,93.83,97.19,99.29,108.36,126.56,128.86,93.7,93.31,100.75,101.24,96.45,117.5,133.15,107.28,107.95,112.14,108.48,102.12,138.64,137.51,110.53,112.84,101.96,111.44,114.59,133.8,136.42,107.4,104.87,103.16,105.74,107.64,130.3,129.46,103.65,97.4,105.41,104.83,110.2,125.97,137.77,113.11,111.63,107.44,106.17,102.42,110.52,109.31,81.77,79.24,70.77,73.89,61.3,74.51,72.8,57.07,54.83,54.56,56.75,62.99,74.08,62.23,40.65,49.33,55.74,56.89,52.25,56.36,60.93,48.81,60.46,61.59,59.13,53.48,66.57,70.27,42.61,49.37,64.44,66.02,66.35,77.86,62.17,71.92,68.24,63.46,68.78,75.99,76.17,90.8,57.47,59.88,73.43,80.78,71.19,80.87,94.91,86.4,79.48,86.74,86.79,89.93,100.53,91.4,78.76,NA,NA,104.97,110.02,114.26,126.14,99.88,105.16,113.79,119.17,130.73,149.48,132,117.25,103.36,126.69,132.73,129.82,147.81,154.26,127.73,123.66,128.54,131.87,151.04,166.36,169.9,137.52,147.81,146.58,149.89,139.11,194.88,181.53,149.1,147.1,156.89,166.08,180.78,222.26,221.32,154.28,157.51,169.61,158.5,177.75,212.85,186.9,155.89,149.15,159.39,174.16,207.63,203.59,168.78,176.21,171.53,173.79,164.41,184.43,194.48,194.74,190.09,157.69,160.01,176.74,185.85,202.06,252.21,197.91,172.53,178.36,172.47,172.08,216.14,221.76,193.86,179.75,175.59,187.82,189,214.27,228.91,181.77,178.81,155.82,182.96,192.3,216.11,221.37,192.67,181.62,180.58,184.15,190.13,222.82,224.72,191.91,173.01,176.35,180.65,192.44,220.42,218.54,196.99,171.15,169.12,178.93,171.92,206.2,170.81,175.76,157.72,158.33,149.68,169.35,225.7,207.86,182.04,190.56,159.05,156.19,154.08,190.43,207.17
"4097","county","Rockingham County","walking","","New Hampshire","United States",100,109.85,120.12,104.14,138.74,171.35,136.88,137.12,105.77,109.25,98.32,137.06,197.36,127.03,101.02,104.62,115.56,112.85,148.89,211.59,129.97,100.78,108.35,116.46,92.61,121.38,208.65,137.48,139.28,146.07,117.3,110.99,180,244.26,170.39,146.37,104.86,120.42,124.74,169.97,226.01,129.37,122.58,123.9,112.13,117,153.27,203.54,135.86,103.54,119.22,107.27,123.12,146.61,201.08,141.32,136.22,120.3,126.13,107.21,117.72,172.25,117.9,90.93,71.05,90.33,66.31,88.83,91.29,72.55,63.96,66.37,66.37,82.16,100.66,90.69,42.4,51.35,74.23,73.87,56.88,60.42,80.9,70.93,82.64,91.65,74.71,57.3,70.45,91.77,66.43,51.47,82.28,83.24,75.26,81.32,58.98,101.14,84.02,70.39,74.83,84.86,77.66,115.5,62.7,54.95,70.21,102.88,68.17,82.7,125.17,105.35,92.67,103.18,106.07,98.02,110.63,105.41,89.85,85.17,71.71,123.3,133.39,141.26,161.98,143.66,119.82,134.77,150.99,162.88,199.7,176.16,163.3,133.09,158.14,175.32,178.98,195.5,251.47,177.96,147.57,163.54,173.75,225.11,237.36,302.82,200.42,204.02,202.88,215.2,181.14,354.41,325.71,216.64,198.68,213.57,234.05,300.42,413.69,485.29,254.71,222.16,241.5,217.18,270.39,334.71,313.33,227.03,187.93,201.56,234.29,302.46,324.74,396.58,268.95,253.33,239.88,221.2,269.79,265.23,319.28,329.13,202.04,213.03,238.02,254.17,295.26,454.23,351.77,237.06,252.25,228.47,229.07,319.22,386.07,300.6,255.8,229.37,262.22,256.04,330.51,412.79,264.26,253.03,237.54,260.48,267.93,325.35,383.72,313.39,252.01,255.14,257.42,282.58,340.42,391.53,276.28,246.61,237.66,256.88,276.7,360.3,403.18,291.17,265.89,243.36,259.04,238.5,333.63,278.86,269.91,199.7,223.12,199.34,240.6,337.36,377.18,340.06,267.75,233.99,198.8,192.07,264.38,362.46
