"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12"
"2073","county","Addison County","driving","","Vermont","United States",100,95.66,107.27,105.19,129.22,113.61,107.97,124.88,101.26,90.58,95.37,129.29,131.18,102.15,89.06,90.29,92.21,102.3,126.1,133.56,93.1,88.99,86.76,96.03,76.12,87.58,114.09,116.83,87.13,91.92,100.33,115.57,157.99,178.68,143.97,132.15,106.64,118.58,114.42,138.67,134.33,114.68,99.11,99.59,99.81,108.12,152.8,161.99,116.98,91.29,98.89,100.67,97.48,137.34,137.37,117.65,106.41,106.41,105.75,109.49,121.99,105.01,91.51,67.78,62.55,64.96,60.96,60.7,61.03,49.98,49.91,48.02,51.61,49.35,47.46,54.8,36.6,41.12,43.75,46.68,42.2,49.76,55.77,38.97,50.02,48.39,52.06,40.97,46.72,57.51,37.23,41.64,55.69,57.17,59.1,63.63,64.33,56.17,64.89,60.4,59.92,73.3,75.49,91.21,59.99,53.5,69.37,71.56,67.74,79.68,99.07,74.01,64.66,83.24,81.13,81.16,84.28,90.88,75.05,NA,NA,88.91,101.48,94.81,116.28,95.18,95.62,102.04,116.02,118.13,123.66,141.53,125.32,114.31,115.24,116.02,115.57,115.61,129.96,108.08,101.89,123.32,126.55,120.36,138.19,132.18,116.65,118.61,125.77,133.96,123.77,147.53,142.64,124.77,137.52,138.71,139.41,156.77,168.48,168.11,140.82,143.01,153.24,155.25,161.4,170.34,173.45,137.23,141.79,145.31,179.61,188.21,197.29,164.03,170.08,170.75,166.48,168.52,188.06,181.54,159.96,148.24,165.33,167.48,172.01,174.6,194.96,208.9,178.64,167.37,170,166.59,172.15,199.15,210.64,181.05,167.52,172.34,179.24,176.42,204.04,203.74,161.48,180.01,141.68,171.67,184.69,212.2,221.84,180.42,175.08,167.74,176.57,182.91,191.21,216.87,202.56,166.33,174.23,172.41,195.22,193.03,211.35,176.68,171.93,171.3,207.27,174.56,207.27,165.63,169.52,147.98,148.83,153.21,163.89,199,197.52,201.59,151.95,138.82,142.42,152.91,171.56,208.01
"2212","county","Bennington County","driving","","Vermont","United States",100,102.21,102.01,97.07,184.48,181.45,164.05,183.1,97.03,99.01,112.26,160.03,168.76,156.97,94.04,90.74,99.24,113.08,151.07,166.16,139.67,105.11,86.13,97.73,91.66,170.28,167.71,171.76,109.32,101.88,98.06,108.47,201.52,240.56,222.54,221.19,151.83,149.16,156.97,197.92,206.23,179.84,101.58,97.03,107.48,116.54,180.82,202.14,178.19,111.89,103.13,100.3,113.77,154.73,179.6,168.14,94.53,92.72,96.54,109.13,119.87,135.16,119.77,80.46,68.9,76.94,66.03,62.04,71.93,54.76,46.66,50.68,50.38,50.02,58.48,57.3,39.8,47.12,49.32,56.71,44.15,50.21,57.36,53.38,56.34,58.15,55.26,51.89,54.5,58.85,41.65,48.63,64.61,62.73,57.66,66.19,63.36,65.77,60.66,65.07,73.05,74.07,70.77,87.61,54.3,60.86,86.13,77.56,71.63,72.06,84.58,82.01,70.21,84.42,80.07,80.66,85.6,80.1,76.18,NA,NA,88.4,105.24,90.05,116.24,92.55,90.18,116.87,105.8,121.55,135.16,145.77,135.32,114.46,119.74,123.99,120.23,123.66,120.3,106.59,106.36,112.39,111.7,125.7,152.45,146.49,124.68,121.85,134.76,136.74,131.73,154.43,163.23,170.44,137.96,147.25,150.41,153.15,175.45,178.39,149.65,148.24,166.89,164.71,177.07,201.94,181.32,175.42,164.98,177.36,172.98,207.35,243.13,213.81,224.38,195.52,189.52,172.32,186.85,204.94,206.92,186.99,175.95,173.74,169.62,185.14,196.05,218.78,211.7,201.55,184.74,178.78,176.08,217.46,233.9,217.96,200.36,180.89,191.76,197.53,228.9,248.43,204.42,196.97,153.38,190.77,205.3,256.61,257.1,223.95,217.4,214.76,207.78,203.69,262.01,262.01,219.34,201.22,201.58,199.18,218.35,242.08,263.36,238.52,201.22,202.97,209.85,191.33,216.71,207.91,200.72,184.45,174.27,161.94,190.58,247.31,298.55,264.61,221.48,162.41,166.43,177.79,197.92,223.13
"2358","county","Caledonia County","driving","","Vermont","United States",100,101.16,102.1,99.83,157.88,141.85,110.56,133.28,103.43,105.31,112.49,141.96,132.12,110.34,99.94,99.34,102.87,116.58,135.21,137.76,98.95,96.19,91.38,100.11,93.97,117.69,137.92,129.74,97.57,96.46,112.22,107.52,169.49,172.47,158.76,159.81,128.3,133.06,132.89,170.48,150.3,135.6,110.78,109.51,106.19,112.22,146.16,141.29,141.9,114.65,114.37,111.17,113.32,154.17,137.53,122.66,110.34,100.55,103.21,94.8,115.09,106.52,83.8,79.49,77.17,70.54,72.42,74.46,63.02,61.36,57.49,55.56,61.3,50.58,54.12,52.85,42.51,50.25,56.77,58.54,51.3,58.71,55.33,48.54,59.7,58.76,58.93,51.24,60.75,56.94,41.13,55.83,68.66,65.56,72.14,77.11,75.79,63.57,71.14,58.43,69.76,77,82.26,91.76,67.22,67.11,80.43,84.13,81.59,91.1,93.86,90.88,86.62,85.02,101.05,99.5,115.81,88.45,78,NA,NA,107.02,95.58,109.84,127.09,101.44,113.43,118.19,119.13,122.22,165.28,142.45,117.91,127.64,119.73,121.72,125.98,142.56,121.17,106.63,114.48,114.37,121.84,132.17,147.87,142.07,131.73,135.05,126.87,130.51,138.2,169.32,158.26,133.72,134.66,136.1,159.92,156.77,189.61,177.34,153.9,156.94,140.52,145.88,168.88,189.88,178.28,177.11,150.14,149.86,161.75,202.38,225.21,190.66,209.23,175.51,180.71,166.22,170.76,208.84,185.74,187.95,168.1,160.92,185.96,180.32,221.56,218.41,202.82,183.53,188.72,162.41,186.07,235.88,234.27,212.22,184.58,168.38,175.35,192.54,210.56,226.59,208.9,189.94,160.75,184.74,207.96,241.68,253.51,233.61,187.06,187.84,199.72,212.71,259.81,266.67,222.17,186.18,177.94,200.06,183.64,248.04,236.87,213.05,183.25,186.01,188.89,175.29,226.53,178.77,182.42,161.14,159.43,174.68,176.84,251.8,270.37,247.6,206.25,159.81,169.21,171.37,210.01,227.09
"2480","county","Chittenden County","driving","","Vermont","United States",100,97.32,96.58,93.03,125.61,123.97,91.87,108.58,93.36,96.57,99.73,121.45,117.28,85.02,89.88,92.55,96.28,97.44,120.94,123.92,86.45,86.92,90.76,96.34,87.14,82.26,120.62,96.52,95.02,95.82,102.78,106.35,144.37,153.54,124.51,121.54,105.99,110.7,116.11,142.76,132.41,102.24,100.22,97.21,99.16,97.56,121.99,122.79,98.96,102.11,117.78,101.63,109.57,126.67,121.82,94.32,97.21,95.62,92.68,87.24,95.38,92.74,71.19,70.98,63.07,59.57,57.57,58.35,54.15,43.21,43.31,44.82,47.97,44.01,50.43,48.24,31.92,38.72,45.31,44.31,40.9,46.48,48.07,35.95,46.77,48.01,45.69,42.14,48.17,49.06,34.53,43.19,47.71,53.55,53.36,55.58,63.35,50.14,59.36,54.58,54.38,63.81,69.09,73.35,47.65,52.29,63.76,64.66,62.44,69.25,74.63,62.22,58.71,67.49,71.69,72.06,77.71,71.56,56.67,NA,NA,81.46,89.91,88.01,96.5,80.6,87.9,96.15,100.77,107.14,119.6,107.64,92.46,86.84,108.53,112.87,107.67,110.79,113.83,93.22,115.09,110.86,107.84,122.04,138.14,125.98,111.98,116.22,118.68,120.41,126.39,147.07,132.9,110,131.08,135.63,141.36,141.66,160.32,141.76,110.92,135.47,147.79,142.99,151.83,164.65,146.72,118.79,135.16,140.44,148.36,163.21,165.69,129.1,133.62,149.1,150.84,151.88,156.98,168.22,142.89,127,143.59,148.47,154.23,155.91,168.01,161.78,135.92,143.92,151.79,149.02,154.61,177.49,165.63,135.35,144.07,154.33,152.84,156.64,176.61,172.75,133,153.87,138.53,160,170.77,186.77,175.17,146.83,158.21,163.02,166.6,168.21,199.82,183.76,150.5,152.41,155.3,157.75,162.43,174.58,171.71,136.73,148.81,163.94,180.02,181.14,204.85,176.52,160.58,157.65,159.97,156.28,172.45,199.95,199.09,170.25,144.18,151.09,147.39,155.01,181.8,193.15
"2481","county","Chittenden County","walking","","Vermont","United States",100,90.77,78.4,85.25,109.19,138.03,83.73,81.67,70.3,72.44,82.72,119.15,117.63,65.47,64.42,69.52,76.76,79.76,110.47,144.34,74.43,63.64,71.23,72.52,76.61,91.94,127.13,69.02,66.1,68.35,76.8,88.05,129.89,168.43,123.47,102.65,82.76,89.14,107.16,136.67,149.01,78.36,78.67,74.82,72.13,75.09,110.39,129.43,79.8,78.12,125.81,83.34,95.6,109.81,109.38,69.48,71.39,62.36,59.32,53.37,70.34,81.86,49.36,49.67,38.22,37.06,39.94,36.86,37.02,27.09,27.68,28.69,33.2,32.31,35.38,35.62,17.4,24.87,34.57,29.39,24.02,27.4,30.71,28.42,32.74,36.98,31.02,29.54,28.57,26.94,24.64,23.51,29.97,30.52,28.18,32.89,40.21,30.4,33.63,28.26,27.36,33.98,35.27,43.21,24.56,27.64,38.85,37.6,33.98,39.47,44.26,40.64,33.4,37.14,37.41,39.7,38.81,35.34,29.97,33.36,28.03,50.6,53.56,51.62,56.87,47.26,58.31,59.24,65.16,68.16,78.47,71.2,58.58,54.15,64.97,69.95,68.82,72.32,88.79,58.93,98.6,84.27,78.05,100.86,115.34,99.22,86.18,93.11,93.97,99.57,100.35,125.89,113.31,81,90.58,102.18,100.27,105.96,122.97,114.99,73.96,87.62,95.72,108.45,116.12,129.7,126.66,85.29,89.18,104.71,110.12,126.59,153.64,144.88,86.18,107.01,111.44,110.9,113.7,129.58,117.94,87.19,104.83,108.37,114.48,115.69,137.41,140.05,90.39,94.36,107.55,108.02,120.44,145.04,142.97,95.1,102.69,107.16,107.32,120.47,136.16,153.91,98.4,127.6,110.74,131.22,126.59,156.09,162.4,105.41,119.85,126.94,126.47,128.84,156.17,164.23,118.76,127.64,123.2,133.59,134.53,149.82,162.67,124.95,131.02,152,199.26,212.5,274.58,236.01,190.54,216.27,199.22,167.42,185.56,241.77,267.96,200.93,145.66,154.53,146.2,155.27,186.84,236.28
"2877","county","Franklin County","driving","","Vermont","United States",100,105.25,109.61,97.25,140.75,136.99,99.75,112.36,107.15,106.22,108.25,137.66,129.75,94.12,91.79,98.98,98.05,104.19,126.87,135.29,97,104.27,107.02,101.99,92.64,91.58,118.41,102.16,108.29,104.19,99.07,109.35,144.52,150.32,124.12,125.86,109.82,124.46,121.58,147.02,163.27,125.01,125.98,129.75,127.38,115.79,152.09,142.74,115.79,114.64,118.71,119.47,114.13,141.52,139.7,106.69,116.59,111.68,111.72,104.57,114.81,107.15,77.74,84.98,80.66,80.07,74.95,80.7,83.24,66.19,73.38,65.04,70.76,68.9,73.85,69.91,50.44,62.93,70.38,72.28,63.48,79.18,72.15,54.72,70.04,72.96,67.58,64.49,71.22,73.17,47.91,69.11,70.84,82.31,84.47,84.55,89.97,82.95,92.3,81.04,85.44,111.26,104.44,105.21,80.58,91.49,96.83,101.52,98.26,114.3,104.74,101.95,93.86,102.37,111.98,114.3,124.08,108.08,82.4,NA,NA,119.97,118.32,124.63,131.4,108.68,120.48,137.66,133.56,138.6,159.63,139.95,136.82,127.63,140.41,150.7,130.68,148.46,154.08,121.84,144.65,147.31,142.91,145.96,164.75,154.93,132.12,147.86,143.21,158.23,155.31,182.9,175.58,153.24,155.61,163.86,177.7,182.99,204.1,186.71,153.91,176.98,178.84,161.4,188.74,211.26,185.48,163.73,183.45,180.03,187.9,213.63,213.8,187.01,164.16,197.5,189.29,189.04,202.88,208.93,195.6,148.2,172.32,180.28,204.15,199.37,211.64,226.53,172.66,182.14,200.38,197.76,199.58,211.17,218.83,177.49,187.64,189.29,193.02,200,227,226.66,169.49,184.21,158.48,187.3,217.69,232.2,219.64,176.81,197.12,178.76,195.85,200,226.2,239.65,194.29,189.46,184.51,195.01,208,210.96,201.65,156.92,169.91,166.19,180.07,172.2,204.91,172.2,159.37,168.3,184.51,163.22,189,217.94,215.11,183.96,162.84,167.16,168.47,164.49,202.92,216.5
"3360","county","Lamoille County","driving","","Vermont","United States",100,94.78,92.46,89.34,140.26,178.99,227.78,157.03,90.13,100.25,115.56,166.49,178.84,149.27,95.45,89.4,91.66,101.02,126.19,149.01,118.65,95.1,85.17,94.65,99.05,128.74,182.69,174.41,100.99,102.01,96.34,102.96,158.15,198.31,185.46,164.74,130.74,136.28,147.58,164.04,173.71,143.7,107.73,103.95,98.28,109.83,135.96,162.41,142.2,98.15,91.85,93.89,105.06,130.97,154.65,129.98,97.93,94.94,83.39,88.92,112.48,122.85,97.96,65.15,54.96,49.27,47.42,42.97,44.68,39.56,40.67,33.2,37.24,34.63,36.92,40.96,27.59,32.18,39.47,37.52,33.55,31.89,40.64,30.3,37.81,31.7,36.09,32.27,28.61,35.39,28.68,31.67,38.19,40.13,41.63,41.76,47.8,44.21,42.01,41.85,38.96,48.44,50.51,61.43,44.65,43.63,50.67,52.77,43.13,52.8,61.97,61.97,52.45,55.16,58.94,64.54,57.29,48.22,45.99,NA,NA,65.12,73.17,74.57,75.68,69.1,73.65,74.92,81.95,84.31,93.63,93.89,89.59,82.37,91.44,78.74,82.81,74.19,86.03,77.56,78.84,77.08,72.02,88.26,96.24,87.56,89.05,87.78,84.88,103.15,94.14,111.14,112.79,94.88,104.36,97.45,115.6,111.01,126.7,128.68,114.54,122.98,126.67,124.09,141.06,150.35,144.97,132.72,129.6,125.94,143.35,157.16,178.93,155.22,158.05,162.25,167.28,162.41,165.79,171.96,153.18,135.87,139.31,137.3,148.73,155.82,173.65,197.01,159.99,157.54,163.34,150.7,150.45,176.1,185.81,162.19,144.84,158.56,181.64,170.4,184.09,207.48,173.39,179.54,160.44,178.29,182.78,200.54,202.64,191.41,178.77,185.87,180.81,188.77,208.4,205.6,185.46,169.22,158.72,176.29,180.71,193.95,203.18,166.77,156.02,154.52,172.31,172.18,181.48,172.37,161.36,144.91,147.07,153.69,162.44,204.46,240.61,236.31,187.87,139.56,146.34,148.09,171.61,201.15
"3854","county","Orange County","driving","","Vermont","United States",100,95.89,102.18,103.92,165.79,147.24,128.88,151.86,110.53,96.21,114.25,170.92,171.95,128.95,100.19,97.95,106.29,107.51,149.36,145.96,126.44,98.52,94.99,104.17,102.44,137.03,156.93,148.2,103.72,97.56,113.16,121.18,181.51,195.06,161.81,157.7,129.78,133.44,139.73,181.32,177.98,147.88,112.9,109.82,120.73,115.02,177.28,160.46,147.63,108.47,98.78,111.62,124.39,171.89,154.17,134.21,114.06,98.14,106.8,103.79,119.64,115.66,105.91,86.14,72.66,73.62,60.65,66.82,69.64,58.54,46.79,49.1,53.4,49.55,54.04,63.8,40.63,46.92,50.51,49.04,46.08,47.3,54.43,46.34,50.51,49.94,50.13,44.42,59.31,57.64,45.44,45.83,62.9,59.56,60.01,70.15,73.17,70.92,74.45,62.26,63.35,76.44,79.59,88.51,69,64.06,74.84,80.04,75.67,85.94,93.97,82.35,71.57,75.1,91.46,84.98,104.24,97.56,70.35,NA,NA,98.72,105.2,103.98,125.1,99.81,96.34,101.16,114.18,114.76,143.77,143.39,131.19,117.33,109.18,115.53,112.77,121.76,127.34,122.66,110.72,111.62,115.6,114.63,146.92,152.12,139.02,132.48,122.27,125.74,132.99,164.76,164.83,146.66,136.07,136.33,145.83,158.99,179.14,199.17,153.72,145.89,144.35,138.32,166.17,198.27,188.83,172.27,146.98,143.2,165.34,191.66,214.44,170.15,197.37,174.78,167.39,157.19,185.43,194.42,199.17,178.11,158.73,150,183.89,182.61,214.25,244.42,201.16,175.99,167.07,150.06,182.99,212.32,227.6,188.51,168.04,163.61,170.35,188.19,222.91,228.31,208.22,182.22,148.91,202.63,196.85,235.94,240.12,216.5,197.43,179.27,180.68,208.6,251.8,246.28,235.04,185.75,173.49,184.27,186.71,223.94,236.46,211.87,174.45,169.83,182.67,176.96,232.54,193.39,193,160.72,150.64,165.73,179.65,246.08,242.68,220.03,207.38,149.55,165.08,167.27,196.15,220.28
"3865","county","Orleans County","driving","","Vermont","United States",100,103.68,108.41,96.69,155.22,156.87,155.22,151.84,94.52,102.18,112.77,150.19,158.98,120.74,97.97,89.03,92.11,102.78,135.31,133.13,98.35,99.32,100.45,104.13,103.98,136.59,167.39,162.21,111.34,113.22,115.25,121.34,176.93,192.19,181.07,176.86,149.66,151.99,171.3,189.33,188.81,156.95,123.89,129.15,126.82,120.21,172.43,170.32,173.55,130.65,122.16,124.57,126.52,169.5,150.26,155,101.13,100.23,106.01,104.73,111.34,105.41,89.41,67.32,63.26,65.29,67.09,59.73,50.49,49.29,51.01,54.17,48.23,44.7,45,48.38,39.44,47.11,47.26,48.76,45.23,48.76,48.16,42,47.63,51.16,58.68,56.87,50.19,52.59,44.85,51.99,54.85,69.2,58.15,64.54,68.14,56.65,67.09,66.42,60.78,79.34,76.41,73.48,69.35,64.01,74.38,76.11,75.58,88.35,77.31,69.87,84.3,77.39,80.77,78.81,88.96,76.03,70.92,NA,NA,96.02,96.54,103.31,95.94,93.24,99.1,95.12,126.45,134.71,133.13,137.42,126.15,101.65,106.24,113,102.85,110.37,110.29,95.42,110.82,103.38,102.03,131.18,135.09,137.04,119.23,119.98,114.43,126.07,125.39,127.42,147.03,134.86,131.03,129.83,143.65,148.31,161.76,162.36,151.01,152.07,149.36,157.85,168.52,159.58,170.7,150.79,144.93,140.35,161.01,168.22,208.72,209.02,195.27,175.81,171.9,187,177.99,193.61,178.06,177.84,151.47,161.16,180.02,174.15,203.31,219.01,188.88,175.96,163.79,175.58,189.63,205.71,202.7,202.18,173.93,161.01,180.17,169.87,201.8,233.58,196.54,181.74,158.45,191.13,196.32,225.62,252.22,211.5,178.21,188.58,211.19,209.77,250.26,248.69,226.97,175.06,175.36,182.34,182.95,200.53,225.77,182.57,176.48,165.21,173.4,181.67,189.41,195.72,172.88,154.4,170.1,163.56,173.33,216.23,238.09,222.16,181.74,155.82,149.89,152.29,175.28,204.81
"4115","county","Rutland County","driving","","Vermont","United States",100,97.14,99.28,90,155.98,174.67,150.93,142.51,91.74,90.98,106.1,144.02,163.58,132.91,90.42,93.75,94.72,104.12,142.11,163.56,122.14,99.88,95.72,93,92.86,144.16,168.4,155.32,103.21,100.74,99.65,104.78,162.35,198.94,174.03,167.22,129.78,134.15,141.25,175.43,179.99,146.13,99.57,97.93,106.13,112.93,163.06,169.93,142.16,104.55,93.77,97.66,103.02,155.38,174.19,137.54,97.21,101.47,95.03,94.14,119.78,130.53,95.26,68.94,55.4,56.58,55.53,59.17,58.36,44.27,42.86,43.32,46.09,46.19,50.02,48.53,39.24,45.18,43.48,42.74,40.89,45.22,48.7,38.45,46.52,45.45,49.07,43.63,47.79,51.55,33.46,44.37,59.97,58.49,48.82,58.28,52.59,53.17,54.45,52.48,53.79,57.86,66.45,70.26,46.58,46.61,61.01,58.67,55.46,64.57,67.47,64.2,58.18,65.05,69.56,67.82,77.36,71.96,62.33,NA,NA,84.35,82.04,77.77,89.65,73.74,87.71,87.58,100.14,95.92,104.41,111.92,89.71,86.61,100.25,100.15,93.79,103.52,102.86,78.73,92.34,102.23,99.13,100.91,113.95,101.51,94.83,104.12,101.86,109.6,105.42,122.1,118.77,102.94,116.43,109.13,117.34,119.74,139.53,129.66,109.42,120.61,123.84,122.41,131.75,148.88,139.49,122.41,121.63,125.5,148.14,163.08,169.21,147.91,147.02,144.47,141.04,144.41,150.1,153.73,147.91,135.26,133.18,130.92,145.32,143.09,156.25,163.1,147.99,140.31,142.71,140.58,144.68,175.87,176.88,152.84,143.61,141.54,151.08,148.55,172.12,177.21,147.17,147.47,132,152.09,151.86,187.98,185.2,163.31,154.7,150.5,155.5,159.35,186.07,192.65,168.67,152.69,155.84,154.61,158.46,184.04,193.85,165.29,140.94,143.89,149.83,135.49,168.4,161.28,147.06,133.75,140.36,132.88,145.63,185.87,199.61,174.07,155.67,126.43,123.26,135.08,147.5,163.8
