geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17
city,Providence,driving,NA,Rhode Island,United States,100,107.8,110.46,113.48,132.01,108.5,90.56,97.57,107.16,106.95,113.69,132.94,125.02,89.65,100.22,102.17,105.06,108.34,132.35,124.76,85.94,97.52,102.9,107.02,109.35,127.91,129.7,92.83,100.32,106.69,112.17,119.36,144.51,130.68,103.05,109.04,110.76,117.29,116.8,139.54,136.25,100.01,105.31,107.43,114.26,121.37,142.72,137.15,98.08,106.37,112.09,114.12,121.97,132.65,129.43,97.97,111.46,113.35,111.55,105.01,108.57,99.04,72.79,79.44,66.4,69.87,63.41,73.63,65.89,48.77,51.48,56.45,54.78,61.05,70.13,59.83,40.18,50.36,54.93,54.91,52.99,58.98,55.88,45.29,57.19,57.81,55.3,54.48,67.71,62.49,39.55,46.63,64.72,64.52,66.97,74.01,60.47,59.04,65.04,60.8,66.59,69.53,73.01,78.2,52.11,62.91,71.38,75.97,70.15,84.87,85.85,73.48,76.33,83.76,80.65,84.28,92.69,90.87,74.04,NA,NA,94.39,99.44,110.16,112.68,86.86,93.06,103.92,108.99,110.81,133.45,105.43,101.26,89.53,114.45,119.37,114.76,131.1,130.8,106.01,119.54,116.55,117.63,130.53,139.27,134.04,109.25,125.92,130.4,131.58,124.73,154.99,147.41,118.79,126.51,136.76,138.38,142.73,163.85,155.88,116.08,133.48,147.15,144.35,152.89,171.12,150.11,122.48,134.85,143.32,148.82,165.01,156.2,124.74,120.17,137.59,144,147.52,153.03,161.12,160.6,134.02,142.02,144.71,151.61,155.38,165.29,166.07,131.38,143.04,150.29,149.27,150.8,173.43,164.7,133.16,146.48,147.06,154.53,155.36,170.21,167.78,129.04,147.53,138.91,157.88,154.94,167.91,158.77,128.64,133.54,144.68,145.64,149.38,169.91,153.93,117.03,142.93,148.26,148.63,155.46,173.95,160.1,130.4,140.86,145.92,151.39,144.17,174.23,149.22,135.3,141.62,151.11,141.03,155.57,182.18,166.13,136.54,126.62,149.88,144.6,144.62,175.26,169.88,124.7,136.29,142.27,143.35,147.34
city,Providence,transit,NA,Rhode Island,United States,100,109.23,107.36,103.65,105.15,81.8,79.53,98.98,127.8,116.11,118.04,120.7,99.75,78.51,124.94,116.85,114.04,116.79,122.99,103.43,77.69,109.65,112.51,116.28,106.82,107.36,110.73,80.92,105.32,113.9,116.87,120.16,130.44,101.93,93.52,114.69,115.88,115.97,113.19,122.48,110.42,80.92,122.65,114.67,113.76,116.7,132.76,107.67,78.17,113.45,114.47,116.19,123.39,118.37,103.17,85.99,120.05,115.09,105.52,97.31,84.65,77.49,60.08,62.77,50.08,47.73,41.19,40.69,34.17,29.73,34.99,34.97,28.91,34.14,42.33,30.38,24.77,28.48,29.76,27.55,26.98,25.45,27.35,24.09,25.17,26.36,24.18,26.67,28.31,24.69,20.98,23.16,28.77,25.23,26.76,30.58,23.75,26.64,26.56,24.49,24.55,28.51,27.15,33.38,24.89,22.14,26.59,29.98,27.21,33.01,30.61,30.58,36.01,35.28,32.16,33.15,33.32,31.14,28.34,NA,NA,33.83,34.14,35.22,36.21,33.38,36.18,37.63,38.02,37.57,44.31,33.47,36.1,37.34,46.52,46.23,42.38,43.04,45.55,41.02,47.31,45.53,44.73,46.66,54.36,50.11,42.58,52.12,51.22,52.1,51.56,57.87,53.26,51.05,56.96,56.65,58.61,61.33,68.4,60.45,51.64,59.63,62.88,62,60.11,68.23,54.7,51.93,64.75,61.89,67.95,69.99,64.35,56.17,49.66,69.42,61.95,67.5,68.97,67.47,65.26,57.25,65.4,62.68,61.69,66.48,67.84,67.92,56.29,65.4,68.6,64.01,66.62,67.92,65.69,59.54,68.88,61.01,65.03,67.92,65.09,64.95,56.03,70.24,60.11,69.68,65.03,69.73,60.73,55.61,70.64,62.57,64.33,67.19,66.36,56.94,46.26,68.26,61.61,60.65,69.93,68.74,61.1,59.57,62.77,69.03,61.81,56.96,73.16,58.04,64.81,66.76,67.7,68.74,72.54,86.04,69.03,62.68,60.82,74.86,66.68,72.23,72.25,70.95,58.78,71.04,69.85,78.2,81.03
city,Providence,walking,NA,Rhode Island,United States,100,108.14,117.13,104.29,134.29,123.56,111.76,98.83,108.65,120.66,126.06,160.8,176.17,106.36,109.43,111.89,110.61,117.05,163.63,174.13,101.99,108.2,108.64,113.64,109.6,147.09,182.86,103.93,95.23,106.5,118.72,117.97,167.07,185.79,136.52,132.84,127.35,128.25,129.76,173.17,204.16,128.89,112.11,115.02,122.41,123.71,163.26,179.98,107.95,113.99,120.32,125.6,124.64,144.35,169.85,117.54,130.51,121.09,118.91,107.74,114.83,117.68,84.16,81.82,68.76,76.76,61.21,80.84,72.03,53.8,52.11,61.01,53.6,65.37,75.84,64.32,44.98,53.21,64.19,56.35,55.91,56.71,59.81,56.5,64.62,71.99,57.43,54.89,66.18,68.45,48.48,43.32,67.87,67.26,65.44,73.72,55.93,63.01,65.24,57.85,64.75,67.11,67.84,86.14,50.68,59.03,72.53,79.34,65.71,87.81,98.02,86.98,88.44,94.03,78.59,89.35,90.35,79.88,71.8,NA,NA,100.46,106.78,123.37,129.78,100.91,98.33,116.53,123.72,121.65,152.4,110.58,111.53,93.28,124.44,129.04,120.32,138.74,148.8,112.32,130.84,127.64,122.92,131.21,175.25,147.46,114.03,123.62,127.01,132.31,120.72,161.31,156.39,125.51,134.96,134.2,142.57,141.4,174.86,166.9,111.86,134.64,148.58,145.23,154.65,186.55,161.88,128.98,136.87,146.49,146.93,163.31,175.95,158.9,126.84,144.75,151.55,157.54,158.83,169.27,186.4,135.37,143.48,145.32,152.44,159.24,174.44,192.25,135.14,136.52,149.03,150.25,155.09,184.16,179.99,134.27,139.92,144.51,156.2,156.24,188.97,187.44,135.84,151.78,140.59,161.3,155.11,185.29,176.7,135.58,133.15,143.52,146.88,152.62,183.96,179.17,118.65,156.27,159.62,153.94,159.91,194.42,185.33,142.21,152.37,158.49,172.2,154.47,215.64,186.6,164.6,170.38,181.19,156.39,182.23,228.66,228.09,169.82,151.41,176.25,158.75,162.35,210.74,220.99,145.14,154.35,157.88,160.87,164.93
county,Bristol County,driving,NA,Rhode Island,United States,100,109.68,105.88,104.94,121.85,96.65,90.78,99.66,118.51,112.27,109.56,134.16,129.54,101.12,98.37,105.64,110.6,107.67,133.27,130,90.44,98.82,101.43,106.33,107.29,129.22,140.74,99.66,99.96,106,111.73,120.06,143.01,124.28,107.53,114.56,119.54,117.55,120.06,145.44,146.02,123.15,107.51,109.38,108.15,120.22,140.24,142.45,108.35,111.61,123.59,122.51,134.04,148.8,122.43,103.33,110.58,111.93,110.38,96.63,96.02,92.79,87.77,86.89,64.04,77.73,61.43,73.98,68.29,56.69,49.92,58.8,54.62,67.53,74.92,69.96,39.3,50.98,53.94,56,51.97,53.47,58.96,46.59,61.41,63.43,56.33,54.92,62.97,67.47,39.88,45.08,67.73,60.28,67.17,74.92,56.37,62.91,62.57,55.12,69.72,70.94,67.11,88.05,50.08,54.98,73.33,81.53,65.74,81.04,96.95,78.86,78.17,81.47,83.84,84.36,91.59,93.21,74.3,NA,NA,99.52,101.51,115.64,140.2,95.38,96.24,114.32,118.92,125.58,157.87,112.41,120.98,106.1,121.93,129.66,126.91,147.69,157.07,146.1,124.12,123.35,127.61,152.57,154.32,163.76,132.73,141.93,139.38,143.25,132.37,181.04,185.7,152.91,143.23,154.52,155.94,165.78,189.66,182.15,142.85,149.76,158.65,156.27,170.9,183.41,182.07,149.78,137.83,152.35,157.83,199.94,189.96,167.73,161.16,163.45,166.25,159.32,171.14,173.98,194.88,177.55,152.37,155.06,164.92,171.49,184.46,197.05,162.63,161.39,167.65,174.5,170.06,194.9,197.15,160.88,160.26,166.77,171.31,172.27,185.12,195.18,155.46,173.09,144.48,181.35,180.76,180.9,181.41,158.47,163.17,164,161.33,166.85,192.15,183.37,140.1,172.47,180.14,187.23,180.3,213.41,213.69,178.8,180.96,184.42,187.07,168.69,218.43,168.49,175.46,170.94,176.69,158.96,166.31,223.57,211.75,176.73,161.47,169.8,170.5,159.82,197.45,221.04,158.88,146.59,160.66,160.9,168.01
county,Kent County,driving,NA,Rhode Island,United States,100,105.78,109.25,111.54,130.19,112.9,93.49,101.47,106.31,104.26,114.87,126.5,114.79,88.45,100.23,103.5,105.24,107.41,125.78,118.16,83.28,96.94,101.31,104.84,109.73,122.17,122.82,91.65,101.65,106.27,113.42,119.1,140.58,124.49,100.96,113.02,113.3,119.44,114.76,136.53,128.85,97.01,105.47,105.77,114.63,120,144.24,131.8,96.81,104.62,111.55,117.46,122.05,129.1,124.16,98.79,110.15,111.73,109.41,104.7,107.17,97.98,71.05,80.17,69.08,73.51,63.27,76.74,65.66,49.17,52.15,60.18,58.95,63.46,72.96,62.23,38.81,53.11,57.51,57.49,53.62,59.28,58.09,46.56,59.68,60.12,57.12,55.22,69.08,64.66,38.3,46.52,70.58,66.88,68.91,75.6,62.03,59.42,65.6,63.32,69.63,73.62,73.76,82.54,53.69,66.59,76.34,82.04,72.2,86.44,90.95,77.28,78.48,86.99,84.94,86.83,97.18,96.23,75.15,NA,NA,100.6,106.29,114.76,116.51,93.02,99.61,109.63,116.32,117.45,142.96,113.57,108.58,98.83,120.29,132.53,122.09,149.37,138.32,111.96,124.82,123.11,127.9,150.99,147.53,145.19,116.17,133.57,141.56,139.76,133.67,167.49,156.46,123.03,131.54,141.56,144.95,152.18,175.92,173.05,130.24,145.03,165.17,160.33,172.3,193.64,162.26,133.04,147.37,154.86,160.38,178.83,166.2,132.46,131.43,148.1,152.27,158.27,166.73,167.6,163.06,149.48,145.35,157.5,158.61,167.1,171.45,175.21,145.2,155.98,161.27,159.7,159.97,180.4,172.97,146.67,160.58,154.73,160.5,162.46,171.38,176.93,136.01,154.95,143.01,166.21,162.77,179.66,166.98,140.42,141.26,152.2,154.98,158.99,178.35,159.67,122.72,149.32,154.42,156.18,161.54,181.07,167.88,140.97,145.71,148.28,152.69,145.97,174.67,148.27,137.92,144.49,152.68,143.04,160.31,184.88,167.99,141.41,137.11,154.02,143.72,146.63,170.54,170.42,126.11,139.48,140.01,143.75,148.09
county,Kent County,walking,NA,Rhode Island,United States,100,106.7,112.68,100.16,126.17,110.74,92.16,94.75,105.49,100.81,105.09,122.29,118.17,94.51,94.51,98.22,101.62,106.14,120.36,123.67,81.5,88.29,98.71,90.87,108.56,119.63,123.91,99.03,90.39,99.84,108.72,92.33,127.3,119.06,95.48,109.29,110.34,112.12,112.28,117.37,112.12,98.79,104.77,96.69,107.35,98.38,120.68,138.37,90.55,108.4,107.67,110.99,101.53,105.17,126.82,107.11,117.04,105.74,104.36,103.15,107.19,109.37,79.89,90.39,88.05,90.47,67.04,89.58,86.19,69.22,77.22,73.91,65.43,69.87,91.76,70.44,50.97,70.11,79,67.29,69.79,69.95,70.84,72.7,80.94,83.93,72.46,63.25,75.53,74.96,56.46,55.25,78.76,76.17,84.25,89.42,63.73,75.44,73.42,77.3,81.99,91.92,85.86,107.35,59.53,85.14,91.28,105.74,80.21,104.44,111.23,110.58,107.84,112.2,94.59,118.09,107.92,97.17,85.62,91.68,78.19,137.16,131.74,140.55,153.96,133.76,123.67,137.08,145.07,132.07,157.43,126.09,132.15,109.94,150.16,159.53,143.21,153.47,144.51,127.06,128.51,143.38,149.19,151.86,146.93,176.41,134.01,151.05,129.48,152.42,146.37,181.91,169.79,138.13,144.18,141.68,157.92,156.38,180.05,175.36,124.07,165.75,176.25,168.42,172.05,208.89,186.91,144.99,153.63,158.16,164.46,187.88,187.8,156.46,142.57,167.93,171.73,167.77,169.47,188.69,186.03,168.34,161.07,173.34,156.14,186.59,171.97,197.74,150.57,155.74,174.39,173.75,170.52,174.39,188.45,147.98,150.16,162.36,165.83,172.78,178.59,187.64,166.07,170.76,138.69,183.12,164.38,188.61,190.31,150.89,145.32,150.81,162.2,163.25,194.67,177.3,129.89,176.74,173.51,157.59,163.97,193.13,183.84,160.9,143.7,161.95,165.27,160.26,193.7,165.27,136.67,146.45,156.62,163.17,168.42,209.05,194.59,146.2,147.17,185.62,155.49,155.25,179.16,195.48,134.17,147.42,156.22,148.95,158.89
county,Newport County,driving,NA,Rhode Island,United States,100,105.05,110.96,107.3,127.4,124.67,123.98,113.54,101.2,104.91,114.88,143.03,138.09,117.96,101.65,103.77,105.1,108.85,134.79,144.49,103.45,102.62,100.4,105.91,108.68,134.62,154.91,119.12,106.49,104.43,116.94,124.89,165.43,184.71,169.35,144.17,121.79,124.13,131.23,151.89,180.68,144.49,108.3,112.05,118,117.68,154.6,177.77,138.13,110.64,117.55,116.45,130.7,149.33,157.98,125.92,122.55,117.18,117.56,111.42,121.54,157.43,114.68,87.93,69.88,81.96,62.81,76.13,80.44,63.95,56.84,65.96,60.49,68.53,84.35,79.23,42.57,53.12,59.08,55.78,50.82,59.34,57.55,49.79,64.46,63.14,56.71,52.67,70.66,76.8,45.46,40.26,69.91,63.51,64.76,80.45,61.14,72.41,65.84,64.41,72.16,73.63,71.1,107.13,54.57,59.52,73.3,85.33,70.71,86.97,111.85,97.42,80.95,91.34,91.72,92.61,105.06,108.34,93.47,NA,NA,108.68,118.28,130.35,172.37,120.38,108.97,122.41,128.52,139.21,189.63,133.09,187.73,152.24,149.18,168.87,151.56,155.46,208.95,211.56,156.93,151.59,155.07,204.49,202.7,234.79,205.3,199.13,205.87,197.43,167.74,255.5,319.38,257.33,198.81,225.62,223.54,235.09,292.77,361.79,255.13,230.46,258.61,239.58,272.94,312.76,304.96,290.56,221.73,229.45,240.72,330,357.17,371.65,330.81,288.18,269,248.34,292.02,271.12,329.68,373.26,270.61,266.94,285.83,295.65,309,422.19,362.65,284.25,291.39,272.39,283.64,340.12,415.26,357.06,310.13,292.63,292.6,291.28,321.38,412.26,317.61,295.45,237.93,272.66,276.68,289.32,315.68,279.38,263.26,247.54,247.44,253.33,293.4,317.16,237.44,244.13,253.55,254.29,279.47,319.96,354.05,297.89,250.09,252.47,259.96,238.74,301.22,267.36,305.19,219.64,231.45,204.21,238.93,319.22,378.11,373.7,317.3,239.96,205.83,207.38,320.71,333.56,238.65,202.04,205.94,193.82,210.44
county,Providence County,driving,NA,Rhode Island,United States,100,108.43,111.51,114.44,133.06,107.24,90.02,97.18,108.22,108.67,114.62,133.92,127.28,90.34,101.32,103.07,105.86,110.36,134.81,126.16,87.01,98.41,104.36,108.21,110.43,129.97,132.16,93.91,100.47,107.51,112.55,120.3,147.24,132.32,104.55,107.77,110.77,117.54,117.78,140.31,137.55,100.86,106.37,109.64,115.7,121.56,143.41,138.09,99.11,107.36,112.62,114.01,122.44,134.59,131.47,97.9,112.14,113.69,111.78,104.09,109.21,98.44,72.66,78.72,66.25,69.38,64.43,73.19,66.05,49.24,51.91,56.15,54.57,61.2,70.54,60,41.07,50.44,55.52,55.22,53.96,59.98,56.23,45.71,57.09,58.25,56.08,54.84,68.66,63.28,41.02,47.33,64,65.1,67.15,74.89,60.41,60.52,66.14,61.33,66.68,69.23,73.38,78.76,52.93,62.81,71.22,75.21,70.55,85.27,85.31,73.66,76.51,83.65,80.45,83.96,92.83,89.75,74.2,NA,NA,93.33,98.53,109.35,110.46,85.6,91.78,102.21,107.08,107.75,129.61,102.78,98.47,85.88,112.25,115.4,111.53,124.92,126.45,103.33,117.54,112.87,115.26,124.04,136.26,128.06,106.69,122.67,126.51,129.1,122.46,149.61,141.84,116.02,124.12,134.69,135.53,138.87,157.76,149.02,110.81,128.74,141.27,137.9,145.89,163.44,143.46,117.27,130.66,139.61,144.47,158.11,149.61,121.19,114.14,131.57,139.89,142.42,147.13,156.78,155.6,127.25,139.04,139.62,148.25,150.96,160.23,161.64,124.96,138.2,145.25,144.48,146.74,168.25,159.24,128.01,140.8,143.09,151.49,151.61,167.56,162.16,125.02,143.89,137.64,154.05,151.4,162.53,152.92,123.16,127.98,140.99,142.16,145.64,164.73,148.69,113.87,139,144.21,144.49,151.61,167.62,154.17,125.33,137.71,142.99,148.83,142.02,169.93,147.04,131.71,138.85,147.57,139.19,153.01,178.21,162.09,134.32,121.08,147.02,143.28,143.85,174.09,167.21,122.92,135.01,141.04,142.29,145.21
county,Providence County,transit,NA,Rhode Island,United States,100,110.04,108.74,104.42,104.55,79.17,78.25,99.08,126.58,118.06,117.08,118.81,98.96,77.97,125.41,115.88,114.71,120.49,124.15,103.09,78.38,108.81,111.17,117.01,107.42,105.74,111.24,81.72,110.48,114.46,117.17,120.55,131.5,101.96,94.1,116.51,117.9,117.36,114.27,123.48,111.27,80.24,123.71,118.18,114.14,117.39,133.46,111.27,78.22,115.78,117.52,117.3,123.42,118.78,103.76,84.79,126.14,115.72,106.98,98.8,84.19,75.09,61.27,61.77,49.4,48.52,39.43,40.97,32.23,27.9,32.58,32.64,27.21,33.49,41.7,29.1,23.11,27.9,28.44,25.88,26.45,24.91,27.21,22.54,24.31,26.04,22.35,24.87,25.69,24.15,20.01,22.85,26.8,23.86,25.76,28.44,22.06,26.58,25.06,23.36,23.3,27.24,24.43,29.17,24.81,21.24,26.45,29.48,26.89,31.88,29.14,29.17,34.75,33.74,31.72,31.44,34.38,29.67,26.33,27.18,26.04,31.91,33.21,33.18,34.09,31.72,35.67,37.78,37.44,36.68,42.52,34.15,35.35,36.62,45.9,44,42.99,41.86,44.89,40.21,46.53,44.89,41.48,44.7,52.15,48.36,41.6,51.48,49.75,50.25,50.57,55.11,51.29,47.82,55.21,57.58,57.1,59.09,63.89,59.25,48.33,56.91,61.3,60.29,59.34,67.71,54.2,50.38,63.16,61.21,66.45,68.53,61.96,50.85,48.2,65.69,62.69,62.82,68.34,66.07,63.29,55.93,66.29,61.3,61.3,64.55,61.36,66.92,54.42,63.64,68.81,62.91,63.73,67.11,59.66,57.92,67.9,62.44,65.85,65.69,63.7,61.9,52.75,69.44,57.51,69,63.04,65.44,56.31,55.24,70.96,63.7,62.63,64.61,64.02,52.53,44.67,68.12,61.81,59.63,69.32,67.42,61.87,57.45,63.76,67.93,62.53,54.83,68.59,56.63,65.37,64.65,68.47,70.2,73.52,84.88,65.66,61.9,58.59,75.51,64.71,70.08,73.96,68.81,60.61,73.61,71.78,78.6,78.28
county,Providence County,walking,NA,Rhode Island,United States,100,108.3,118.67,105.5,135.72,125.29,113.84,99.26,109.12,121.71,129.67,166.55,183.47,105.86,112.74,114.89,113.02,120.55,169.64,178.25,103.75,110.81,109.88,118.39,110.96,151.86,188.99,105.2,95.67,107.95,119.67,121.79,172.07,195.61,142.28,133.88,129.85,130.04,132.08,180.83,216.45,130.51,114.59,118.91,125.78,127.78,168.9,185.04,110.32,115.81,121.63,128.38,128.2,150.66,176.92,117.66,132.06,124.43,121.29,109.39,116.01,116.84,83.35,78.69,66.27,75.46,60.93,78.26,69.24,50.94,49.01,60.02,52.39,66.03,74.15,65.38,43.98,51.42,62.59,56.84,53.52,56.41,58.23,53.68,61.83,71.36,57.34,53.21,66.06,67.29,47.57,42.13,68.38,66.82,63.35,71.82,54.93,63.32,64.6,57.54,62.8,65.68,65.32,84.92,49.94,55.95,69.03,76.71,64.91,85.28,96.03,83.09,85.37,91.7,78.41,85.51,90.18,77.64,68.28,65.58,65.02,94.8,103.16,120.98,119.93,92.46,93.36,112.15,119.23,116.75,149.91,107.09,106.03,87.54,119.75,122.43,112.81,133.59,144.71,107.9,129.56,122.72,117.83,125.75,176.59,139.05,109.31,117.37,125.02,128.5,118.76,153.22,145.45,119.75,133.54,132.7,137.81,137.15,168.47,159.03,105.56,128.01,141.28,139.69,144.52,176.41,151.33,119.99,132.45,144.61,142.4,155.44,167.03,147.51,119.38,138.17,143.67,151.64,151.57,161.26,178.96,124.04,135.79,139.11,148.36,152.19,168.51,184.4,125.3,131.46,139.96,143.62,148.67,180.26,169,128.68,130.69,137.52,154.01,151.09,183.37,180.58,125.91,144.99,135.7,154.77,150.44,176.04,170.05,131.37,129.31,137.66,142.76,148.52,176.97,173.68,113.87,152.1,156.64,149.08,155.47,187.57,178.53,136.44,150.19,154.99,171.18,151.25,207.79,183.68,162.35,169.7,182.79,152.54,179.76,225.2,224.47,166.03,146,170.07,157.36,158.97,207.46,218.38,145.87,154.83,154.77,160.02,161.35
