geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17
city,Seattle,driving,NA,Washington,United States,100,91.43,105.28,128.93,150.42,141.85,108.22,123.71,145.34,149.76,153.1,159.6,146.06,108.72,132.12,138.89,138.23,143.06,162.97,142.48,100.12,128.32,131.85,148.3,164,168.64,152.01,117.18,133.89,138.72,140.45,149.84,173.7,145.92,116.91,134.13,138.51,140.62,145.04,157.15,146.45,108.6,126.8,136.55,142.72,154.23,166.7,154.1,113.82,124.53,126.05,128.11,124.27,133.98,124.09,94.17,111.49,111.23,107.96,103.41,105.68,92.01,73.69,83.85,77.18,76.27,76.65,82.7,67.93,51.79,61.44,59.44,56.51,50.48,54.29,47.93,43.16,49.1,52.05,53.83,52.99,58.93,54.44,44.38,54.43,56.21,58.36,60.26,67.15,59.7,44.89,57.45,59.67,63.98,65.95,72.16,63.04,56.46,65.27,61.34,61.09,65.62,74.79,69.68,57.89,65.61,67.11,69.1,72.43,84.28,71.53,63.05,72.73,80.3,77.21,85.33,100.16,97.42,76.31,NA,NA,87.1,90.15,109.22,90.43,80.87,93.04,96.05,94.78,97.15,115.62,105.36,91.17,78.55,100.3,107.78,109.49,125.05,99.07,86.27,105.39,105.19,112.73,112.01,126.11,114.78,95.27,108.67,108.86,120.18,123.64,140.5,121.4,107.5,113.97,123.87,131.26,139.66,157.97,134.27,108.02,137.75,138.2,138.92,149.86,160.67,132.83,115.15,134.72,134.79,140.59,151.08,144.39,107.6,108.4,131.36,133.51,142.06,145.64,162.75,141.72,116.62,139.45,146.56,150.73,147.89,158.81,153,128.59,144.94,147.3,142.88,145.12,164.59,154.92,130.33,146.59,147.12,151.08,157.32,173.91,152.8,129.62,143.94,152.29,155.66,151.15,171.62,146.33,132.81,144.51,146.42,148.72,154.47,174.98,160.49,135.81,146.1,146.46,150.54,154.2,166.87,156.74,131.5,142.15,147.73,153,156.43,174.23,152.99,130.39,142.95,151.98,152.75,157.15,180.24,150.59,131.2,129.78,152.57,146.23,151.91,158.72,132.85,107.71,128.75,131.77,134.79,137.37
city,Seattle,transit,NA,Washington,United States,100,96.87,91.73,98.76,101.14,87.91,74.18,85.34,96.4,101,96.28,101.77,84.87,67.68,91.74,90.86,91.42,94.16,101.58,82.44,69.04,86.72,87.53,91.01,96.06,100.93,88.72,74.21,87.83,91.12,93.78,96.92,106.16,87.23,77.76,93.15,99.91,100.33,100.63,106.4,86.98,70.28,87.48,91.37,92.77,98.57,104.73,101.58,72.42,80.1,79.48,79.71,75.94,75.1,71.83,56.04,65.82,63.26,59.54,53.57,50.86,41.79,35.71,37.39,31.54,30.28,28.25,28.76,24.23,20.55,23.25,21.11,19.25,17.98,17.77,15.88,15.89,17.38,17.2,17.98,17.33,17.59,15.43,14.52,18.36,18.04,17.65,17.9,17.79,16.11,14.29,17.78,17.71,17.37,18.58,17.9,16.59,15.73,18.92,17.55,16.27,17.39,18.34,15.96,16.48,18.32,18.23,18.66,18.65,19.91,17.27,16.14,20.77,20.31,19.37,21.27,21.44,21.04,18.22,NA,NA,20.82,21.23,21.39,18.69,18.53,21.87,21.87,21.28,21.53,21.71,20.75,19.92,19.45,24.3,25.16,24.79,25.85,22.61,20.83,25.81,25.55,28.45,25.48,27.79,25.66,24.47,27.85,27.54,30.25,30.6,34.59,27.67,27.11,28.87,30.78,32.19,33.96,35.81,29.91,27.1,35.88,35.32,34.62,35.14,35.92,30.13,28.89,35.21,33.39,33.79,34.12,35.62,27.09,27.62,34.91,33.86,35.28,34.47,35.64,32.38,28.02,36.36,36.02,36.07,35.87,34.32,33.16,30.94,36.23,37.1,37.56,34.8,35.14,35.13,32.06,38.23,37.99,38.04,37.71,38.05,35.96,32.76,39.55,38.8,40,36.97,39.33,34.8,32.96,38.73,38.36,36.88,39.27,39.95,38.22,34.7,40.48,40.16,39.93,40.14,40.13,38.62,33.52,39.32,40.8,40.65,42.01,41.55,36.73,34.07,40.28,42.16,41,42.33,44.71,39.88,36.61,37.74,41.74,40.84,40.92,39.14,31.78,30.2,37.04,37.18,39.12,41.53
city,Seattle,walking,NA,Washington,United States,100,101.74,100.47,125.25,150.39,174.37,132.22,122.04,115.95,126.74,121.26,148.77,170.89,121.07,114.66,117.38,119.62,127.65,143.28,154.66,108.4,112.19,108.85,111.29,123.31,151.07,169.39,127.87,114.66,118.01,125.83,131.99,184.57,189.01,152.06,138.51,133.76,135.58,144.37,171.66,179.37,116,114.48,126.12,132,147.3,164.04,183,127.69,101.48,105.59,112.78,109.89,124.29,133.27,96.77,96.96,88.98,85.09,83.14,78.95,79.5,63.24,62.35,57.84,61.13,59.96,62.79,57.37,43.04,45.48,41.79,41.88,37.05,40.6,39.17,42.22,35.77,39.71,43.58,40.28,42.21,47.28,40.69,48.13,45.97,49.98,52.36,55.99,50.52,43.19,48.16,49.02,50.01,53.43,54.6,49.45,50.53,55.53,44.81,39.87,47.08,53.89,56.06,48.87,51.01,49.9,52.06,53.93,64.24,48.46,51.95,53.93,61.32,55.42,66.77,76.66,78.63,60.05,NA,NA,67.86,69.25,86.71,67.69,69.87,72.9,74.29,69.66,70.51,84.35,82.13,74.97,58.86,77.31,86.57,85.1,97.71,86,69.96,83.55,80.93,89.71,85.5,99.62,101.32,81.01,83.84,81.2,97.67,96.07,124.78,99.12,93.09,83.95,95.4,105.24,110.79,128.41,109.94,87,108.77,111.5,109.98,122.04,122.84,101.58,95.28,104.96,100.36,102.71,110.56,112.66,89,90.9,106.85,102.44,111.7,113.03,128.28,117.23,95.28,113.95,115.11,119.1,113.27,122.59,129.82,106.83,114.52,113.09,109.9,110.65,124.78,127.75,106.97,114.74,115.7,117.91,117.82,132.01,127.79,107.51,115.72,121.61,123.71,111.29,135.24,124.21,115.83,114.81,113.97,114.2,123.23,142.11,135.25,110.97,116.99,119.81,120.62,120.89,134.27,135,115.91,115.06,123.67,122.05,127.21,144.54,136.21,113.91,117.03,125.79,125.28,131.25,147.69,143.1,130.12,115.71,114.19,116.89,119.19,127.15,113.04,90.75,99.07,105.53,108.82,112.06
city,Spokane,driving,NA,Washington,United States,100,112.97,113.47,106.94,124.17,109.34,84.61,102.12,108.44,107.1,111.06,130.37,129.41,87.85,104.23,106.16,108.45,113.28,130.7,126.78,81.22,105.35,123.63,108.15,115.29,134.74,132.06,94.83,109.19,112.82,119.36,124.38,153.62,144.6,105.98,118.99,115.39,118.07,124.4,143.25,142.35,96.02,108.8,115.72,121.83,125.31,151.99,151.67,101.58,112.73,118.24,124.09,128.42,150.74,136.54,97.12,113.68,118.37,113.22,111.45,115.56,86.62,66.88,88.46,82.8,82.57,84.2,91.06,74.38,55.72,69.33,67.56,60.96,57.45,61.65,51.45,43.06,56.42,58.01,61.74,62.97,66.88,57.95,44.64,63.27,64.79,68.09,69.8,80.08,68.75,42.13,68.81,70.07,80.54,81.84,87.78,77.02,61.65,80.42,81.23,80.35,84.38,92.65,80.98,67.11,85.24,88.02,91.32,93.51,106.55,89.45,71.35,95.42,100.12,90.61,103.99,119.18,104.49,78.67,NA,NA,106.5,109.24,126.75,109.96,82.82,111.84,120.22,113.5,123.71,135.81,115.79,92.64,96.39,129.31,132.87,137.46,151.51,121.22,99.75,131.54,132.02,140.24,142.54,158.73,144.97,109.18,139.4,141.13,151.16,151.52,165.94,143.95,117.69,145.49,150.12,159,165.16,183.11,158.95,116.64,158.42,163.21,165.3,174.87,185.99,158.92,127.01,160.38,163.09,168.05,176.86,163.19,108.93,118.82,159.56,162.65,170.83,174.76,191.5,166.87,134.75,164.61,166.91,172.52,173.16,186.74,158.87,131.8,164.81,165.9,171.27,173.38,189.24,163.3,132.94,164.26,169.58,172.63,175.44,194.45,165.41,138,171.62,178.65,176.74,177.86,195.51,166.86,139.25,171.36,172.73,171.58,179.68,200.56,171.54,142.5,171.54,173.46,173.88,184.33,198.27,174.23,141.47,168.96,174.24,181.93,189.28,205.69,179,147.73,174.23,174.81,176.97,186.42,208.87,176.47,144.54,171.3,181.98,173.56,179.14,204.31,160.68,115.39,149.95,151.8,159.1,162.1
city,Spokane,transit,NA,Washington,United States,100,97,93.94,88.57,90.73,63.45,53.13,72.78,84.89,81.1,76.3,82.62,67.98,58.77,75.2,79.88,71.51,81.99,81.04,72.25,64.98,77.41,85.47,104.32,76.41,88.41,72.46,57.08,80.31,82.52,81.2,83.36,74.04,77.3,62.14,80.78,82.04,83.15,89.68,84.41,75.04,51.66,81.25,73.57,78.04,75.36,92.36,76.09,51.29,76.83,75.93,89.42,79.62,89.26,68.72,56.56,71.41,76.83,69.4,70.56,69.14,53.5,39.02,56.08,38.44,42.18,39.18,35.33,30.28,25.28,28.44,25.86,26.54,26.22,27.65,25.22,21.38,26.96,21.27,23.75,31.44,30.75,24.7,21.91,28.12,26.59,27.91,29.12,29.44,30.91,21.33,24.91,28.12,28.54,26.86,31.65,28.8,25.22,41.71,34.18,25.65,25.96,26.01,25.54,25.54,27.07,32.54,28.91,29.81,29.38,25.7,20.96,39.18,39.86,29.07,35.39,32.96,30.12,25.7,NA,NA,29.28,30.96,36.39,34.86,28.86,41.6,33.7,32.49,36.86,40.81,34.12,34.07,29.54,45.23,44.76,51.87,49.39,40.07,31.02,47.08,43.13,45.29,44.44,45.81,46.23,41.6,44.55,43.34,50.13,47.66,52.13,45.87,42.71,49.87,51.03,59.93,62.88,55.98,46.45,45.18,61.56,56.19,60.98,64.51,56.24,51.66,35.55,54.34,55.56,53.66,48.92,43.39,30.49,32.44,49.97,47.71,46.87,48.66,52.13,42.92,37.97,50.76,52.55,47.13,47.92,47.34,41.92,39.34,45.23,45.39,49.08,44.29,55.87,43.34,37.6,47.81,47.97,51.24,42.5,50.29,42.97,36.91,52.13,52.24,47.97,50.45,47.66,43.39,38.34,51.13,39.65,44.13,42.13,50.18,43.44,36.33,50.45,44.6,46.45,56.82,53.98,43.34,35.97,47.34,51.29,52.08,46.81,54.61,46.87,35.28,50.92,51.92,54.03,46.97,50.87,45.23,37.34,38.86,51.87,55.29,55.24,52.82,42.5,30.12,45.5,51.66,49.71,47.55
city,Spokane,walking,NA,Washington,United States,100,106.02,121.79,111.83,139.7,141.04,96.47,112.89,113.98,108.96,115.2,153.53,187.86,96.32,102.59,114.33,111.02,124.69,156.77,164.04,94.44,106.18,110.74,117.32,120.6,153.28,170.22,98.72,116.42,123.85,128.03,137.55,187.58,215.7,143.98,143.2,137.17,133.55,153.53,194.32,192.73,98.16,111.67,124.94,138.11,151.65,209.61,219.16,116.79,118.35,136.99,143.7,156.15,208.77,174.56,109.64,143.38,128.87,137.7,129.24,124.28,96.38,65.7,84.36,85.89,89.29,88.45,94.35,76.69,63.05,69.82,67.54,54.31,56.37,57.46,49.72,48.25,50.47,53.4,64.26,59.49,63.42,60.05,44.1,67.73,70.38,78.46,80.27,81.93,65.95,41.89,68.95,64.79,70.85,76,93.98,67.85,58.71,77.62,81.09,65.76,76.25,89.04,64.89,62.36,79.59,81.74,81.24,91.2,99.88,87.83,66.07,94.41,93.38,73.03,92.45,113.61,98.81,73,NA,NA,101.81,98.53,126.25,106.77,75.66,118.01,126.62,105.81,128.9,122.16,115.92,95.13,90.11,133.4,139.08,141.1,145.57,120.01,118.29,131.96,136.36,149.13,140.51,164.26,161.17,111.49,137.45,139.42,152.97,152.31,168.07,140.7,117.88,137.86,147.1,158.61,173.35,198.1,163.64,117.13,160.86,163.95,172,181.21,183.83,164.86,123.78,151.47,164.64,170.35,164.17,152.12,102.5,112.39,154.12,161.24,164.26,168.51,194.23,161.74,124.56,169.32,169.38,171.41,166.26,190.39,168.63,126.4,164.76,165.98,177.47,170.76,200.16,166.64,127.34,169.85,168.38,169.48,166.95,197.35,165.7,131.02,176.56,186.14,175.53,177.72,209.83,175.06,126.69,179,179.59,180.09,186.2,213.98,187.7,139.42,168.7,171.91,181.37,189.86,212.95,192.51,143.57,184.46,195.22,212.77,221.44,240.26,211.99,168.26,192.6,194.04,182.18,205.27,232.93,201.62,178.03,157.08,186.74,194.66,194.35,224.28,176.72,107.46,148.44,158.52,170.91,167.29
city,Tacoma,driving,NA,Washington,United States,100,102.17,108.35,119.47,136.49,132.71,94.41,110.67,125.33,120.08,123.76,141.67,136.39,95.65,113.52,118.75,116.32,126.06,155,148.74,97.18,113.01,117.24,119.83,128.79,151.1,148.31,110.23,117.79,121.14,123.82,136.9,172.34,141.9,108.22,132.04,125.61,126.35,138.07,157.52,159.48,104.25,117.6,122.97,131.07,138.65,166.61,155.4,107.7,116.9,128.1,125.91,132.87,145.96,140.57,100.53,116,116.67,111.66,111.46,118.93,100.03,78.4,92.69,84.61,83.32,85.55,92.69,78.83,57.9,68.29,64.61,63.17,57.39,61.65,54.53,46.94,57.66,61.47,63.88,62.32,69.57,62.04,50.79,63.79,63.95,67.55,69.82,77.25,67.33,48.17,67.07,70.07,77.68,79.58,85.06,73.64,63.59,77.87,72.4,72.1,77.33,85.69,77.84,64.55,78.08,78.9,81.48,83.95,97.74,84.08,71.08,85.49,91.62,90.85,95.17,112.41,108.96,85.56,NA,NA,100.26,105.55,121.15,105.33,91.44,104.79,107.92,108.75,112.29,131.21,119.18,100.44,90.56,110.05,120.12,122.86,137.56,111.73,95.76,120.59,113.97,118.12,121.04,138.91,127.87,103.31,120.9,120.71,127.9,131.8,148.86,141.13,117.51,129.98,133.91,143.56,157.2,175.91,152.98,122.28,149.34,146.43,152.65,154.2,179.74,152.64,127.19,144.59,149.48,154.9,165.02,170.28,124.99,126.42,145.09,143.86,150.41,152.91,181.97,159.63,132.27,148.06,155.95,157.74,162.97,177.8,170.93,140.92,157.21,154.2,153.89,151.74,179.28,170.02,140.59,155.72,156.71,158,164.03,190.87,173.48,141.19,152.78,160.76,160.36,158.97,186.4,166.58,146.29,157.08,154.9,153.42,164.07,194,175.19,145.86,154.75,152.93,158.21,163.49,184.56,169.27,140.25,150.24,155.92,156.05,167.88,195.42,169.81,141.36,152.9,158.26,163.3,169.4,194.92,168.16,141.08,140.52,185.17,160.73,167.95,177.23,151.92,116.12,136.78,142.59,144.22,153.62
city,Tacoma,transit,NA,Washington,United States,100,107.67,114.77,115.98,117.06,96.75,86.99,105.66,118.71,118.91,114.17,125.61,103.05,83.26,121.28,115.74,106.82,115.54,129.51,112.57,94.86,107.95,118.31,119.07,113.85,122.76,116.22,91.77,111.68,108.47,117.82,123.24,137.9,115.62,89.8,144.2,135.53,126.01,125.65,128.66,116.46,90.77,115.9,118.99,112.57,123.12,125.29,117.06,90.77,98.72,113.01,109.15,109.19,106.66,103.25,86.43,107.27,97.67,101.81,102.09,87.19,69.65,62.38,70.09,58.89,58.41,55.88,55.16,43.64,36.01,44.88,39.98,36.41,35.41,38.06,33.8,31.91,38.66,37.7,35.85,33.56,34.93,34.28,29.35,37.09,34.97,33.92,39.22,36.45,32.28,26.01,35.05,31.67,36.09,36.17,33.6,27.66,29.91,33.32,28.42,27.5,32.48,31.59,27.82,25.73,31.19,30.71,31.75,36.45,35.81,28.86,31.07,35.09,38.18,39.94,40.75,39.94,36.37,33.76,NA,NA,33.72,39.42,39.18,35.01,32.2,40.67,40.35,42.27,42.07,44.88,39.34,37.33,39.1,47.17,44.88,42.99,42.59,39.22,36.13,53.11,45,43.84,45.64,43.2,40.31,45.72,51.3,42.75,51.06,51.75,50.74,45.24,43.96,50.18,49.78,56.48,53.19,58.57,52.59,45.04,60.26,56.16,58.29,52.87,62.3,48.78,48.45,54.07,57.61,60.62,57.01,53.23,40.22,42.79,60.62,54.36,57.41,52.07,66.44,50.74,44.76,62.46,55.16,58.21,59.33,56.04,51.18,46.97,57.89,58.29,58.17,52.51,58.33,54.32,44.24,56.6,59.37,63.19,54.52,60.86,51.71,45.89,51.87,60.7,61.74,57.29,58.53,55.88,47.29,59.98,58.53,62.02,60.94,63.31,57.89,51.22,61.54,64.35,62.75,59.78,56.84,56.48,52.63,59.86,60.38,59.41,65.6,59.69,54.24,54.15,64.39,65.84,61.1,66.68,62.42,49.18,50.18,46.69,62.83,55.2,58.05,56.64,44.24,42.71,58.37,54.72,59.33,61.3
city,Tacoma,walking,NA,Washington,United States,100,100.6,104.76,113.64,132.7,154,105.43,114.07,121.37,110.19,112.04,144.54,170.31,104.99,107.79,114.98,112.06,132.07,173.36,203.29,115.2,111.53,113.78,114.47,114.69,150.88,179.95,120.7,112.26,119.76,118.85,136.61,216,169,129.74,155.93,131.58,128.2,148.99,175.16,202.72,104.12,117.05,126.51,131.12,145.8,163.85,182.93,118.16,111.37,119.65,126.89,133.54,144.07,154.62,113.31,117.25,116.58,103.41,122.79,112.98,112.02,89.45,98.82,90.14,87.67,94.24,99.89,88.45,69.17,65.44,70.98,66.7,60.63,70.98,63.1,55.58,62.94,69.42,73.36,69.82,75.29,75.65,61.47,84.46,80.1,83.69,84,98.26,75.34,59.49,77.65,89.83,95.59,88.54,97.57,78.26,70.22,87.56,78.1,74.85,82.04,101.58,83.89,72.18,86.69,86.65,93.12,88.45,111.84,80.35,82.19,92.81,109.19,101.42,106.21,129.16,118.87,99.31,NA,NA,112.49,124.17,142.8,123.3,115.65,132.54,129.62,135.52,137.95,156.64,136.88,117.25,106.68,127.98,153.95,149.63,167.37,118.27,108.44,163.79,141.22,144.31,137.41,170.29,154.91,139.15,140.35,135.74,149.83,154.51,171.64,167.46,137.88,146.21,157.07,173.71,185.4,203.89,177.5,146.32,180.15,172.65,166.9,176.3,208.75,171.36,148.56,170.29,165.75,166.41,177.83,189.18,147.65,141.26,166.59,168.22,174.6,178.32,209.1,178.41,142.87,166.95,181.68,188.83,189.98,191.88,195.21,154.06,175.94,170.09,173.18,172.67,188.16,196.26,151.21,173.91,173.8,184.46,187.14,202.54,187.31,160.09,175.01,190.67,184.18,191.16,201.71,191.76,163.88,177.57,179.59,181.48,192.79,207.23,189.76,149.48,174.36,187.09,180.35,186.94,214.65,200.02,173.25,166.35,190.81,190.79,195.82,223.48,192.48,154.04,172.16,187.07,184.64,192.08,219.03,188.74,164.12,149.21,188.54,179.66,174.94,197.73,177.99,128.33,150.99,160.12,175.12,177.74
county,Adams County,driving,NA,Washington,United States,100,80.33,96.32,98.39,162.53,112.66,90.71,129.53,97.15,97.15,113.6,162.64,149.77,129.79,99.69,107.16,105.03,129.79,156.1,138.45,114.48,105.55,107.63,103.01,118.11,168.86,126.26,138.19,101.71,115,112.56,130.98,243.23,191.39,146.34,206.43,121.59,116.19,132.64,210.07,184.33,162.38,116.24,114.37,128.18,152,204.88,190.76,172.18,126.52,120.91,140.94,157.24,220.29,197.61,175.09,136.48,130.25,128.49,152.67,233.47,147.33,127.61,138.3,116.19,122.83,137.52,149.61,143.33,124.81,118.63,103.06,92.11,99.17,98.6,85.63,74.26,86.14,83.29,77.79,83.81,96.26,85.68,69.69,83.19,92.27,89.67,90.24,100.36,97.98,64.71,92.16,81.42,82.2,103.01,128.28,100.47,90.97,104.05,97.87,107.68,115.93,142.03,125.17,119.82,113.65,119.1,110.22,128.7,147.12,123.04,125.95,129.22,120.5,125.01,145.3,191.02,180.85,151.27,NA,NA,137.05,151.95,194.4,176.18,151.22,156.62,133.94,165.65,180.49,251.06,219.1,191.28,224.18,165.85,162.27,185.57,217.49,189.98,189.67,169.9,157.03,182.46,183.76,239.23,214.53,230.25,191.65,184.33,209.65,210.85,298.34,254.85,248.52,200.26,206.85,208.67,244.94,332.59,280.49,284.43,254.23,213.96,244.21,280.33,339.8,301.5,309.55,254.64,224.08,272.08,345.98,353.87,212.35,400.57,309.13,266.22,262.12,289.1,352.98,304.05,317.8,278.62,233.78,249.77,292.01,338.25,299.79,321.43,273.59,237.57,237.93,294.76,357.03,322.37,343.07,281.89,257.6,262.27,311.26,363.26,356.56,363.41,288.95,247.12,260.4,291.13,379.24,332.54,369.28,309.81,258.64,271.77,310.95,374.26,351.17,354.59,274.52,249.92,269.43,301.35,386.2,335.44,339.49,262.43,244.32,224.81,268.4,348.42,292.58,298.75,239.85,208.35,218.58,289.67,390.35,300.73,277.11,1609.08,280.8,208.98,230.46,315.31,236.33,245.82,212.61,194.34,182.77,218.42
