geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
county,Androscoggin County,driving,NA,Maine,United States,2020-01-13,100
county,Androscoggin County,driving,NA,Maine,United States,2020-01-14,107.54
county,Androscoggin County,driving,NA,Maine,United States,2020-01-15,117.06
county,Androscoggin County,driving,NA,Maine,United States,2020-01-16,79.49
county,Androscoggin County,driving,NA,Maine,United States,2020-01-17,136.87
county,Androscoggin County,driving,NA,Maine,United States,2020-01-18,126.65
county,Androscoggin County,driving,NA,Maine,United States,2020-01-19,91.77
county,Androscoggin County,driving,NA,Maine,United States,2020-01-20,112.05
county,Androscoggin County,driving,NA,Maine,United States,2020-01-21,106.48
county,Androscoggin County,driving,NA,Maine,United States,2020-01-22,109.12
county,Androscoggin County,driving,NA,Maine,United States,2020-01-23,112.02
county,Androscoggin County,driving,NA,Maine,United States,2020-01-24,137.76
county,Androscoggin County,driving,NA,Maine,United States,2020-01-25,126.4
county,Androscoggin County,driving,NA,Maine,United States,2020-01-26,95.61
county,Androscoggin County,driving,NA,Maine,United States,2020-01-27,104.27
county,Androscoggin County,driving,NA,Maine,United States,2020-01-28,105.56
county,Androscoggin County,driving,NA,Maine,United States,2020-01-29,102.91
county,Androscoggin County,driving,NA,Maine,United States,2020-01-30,109.9
county,Androscoggin County,driving,NA,Maine,United States,2020-01-31,135.57
county,Androscoggin County,driving,NA,Maine,United States,2020-02-01,133.52
county,Androscoggin County,driving,NA,Maine,United States,2020-02-02,100.35
county,Androscoggin County,driving,NA,Maine,United States,2020-02-03,101.35
county,Androscoggin County,driving,NA,Maine,United States,2020-02-04,108.92
county,Androscoggin County,driving,NA,Maine,United States,2020-02-05,113.29
county,Androscoggin County,driving,NA,Maine,United States,2020-02-06,81.51
county,Androscoggin County,driving,NA,Maine,United States,2020-02-07,90.63
county,Androscoggin County,driving,NA,Maine,United States,2020-02-08,133.34
county,Androscoggin County,driving,NA,Maine,United States,2020-02-09,108.14
county,Androscoggin County,driving,NA,Maine,United States,2020-02-10,106.24
county,Androscoggin County,driving,NA,Maine,United States,2020-02-11,110
county,Androscoggin County,driving,NA,Maine,United States,2020-02-12,124.02
county,Androscoggin County,driving,NA,Maine,United States,2020-02-13,97.65
county,Androscoggin County,driving,NA,Maine,United States,2020-02-14,151.67
county,Androscoggin County,driving,NA,Maine,United States,2020-02-15,138.03
county,Androscoggin County,driving,NA,Maine,United States,2020-02-16,108.52
county,Androscoggin County,driving,NA,Maine,United States,2020-02-17,121.78
county,Androscoggin County,driving,NA,Maine,United States,2020-02-18,108.54
county,Androscoggin County,driving,NA,Maine,United States,2020-02-19,122.25
county,Androscoggin County,driving,NA,Maine,United States,2020-02-20,129.01
county,Androscoggin County,driving,NA,Maine,United States,2020-02-21,144.43
county,Androscoggin County,driving,NA,Maine,United States,2020-02-22,132.47
county,Androscoggin County,driving,NA,Maine,United States,2020-02-23,109.98
county,Androscoggin County,driving,NA,Maine,United States,2020-02-24,113.42
county,Androscoggin County,driving,NA,Maine,United States,2020-02-25,116.52
county,Androscoggin County,driving,NA,Maine,United States,2020-02-26,114.21
county,Androscoggin County,driving,NA,Maine,United States,2020-02-27,107.84
county,Androscoggin County,driving,NA,Maine,United States,2020-02-28,149.34
county,Androscoggin County,driving,NA,Maine,United States,2020-02-29,143.64
county,Androscoggin County,driving,NA,Maine,United States,2020-03-01,105.76
county,Androscoggin County,driving,NA,Maine,United States,2020-03-02,110.56
county,Androscoggin County,driving,NA,Maine,United States,2020-03-03,132.29
county,Androscoggin County,driving,NA,Maine,United States,2020-03-04,121.13
county,Androscoggin County,driving,NA,Maine,United States,2020-03-05,125.08
county,Androscoggin County,driving,NA,Maine,United States,2020-03-06,140.73
county,Androscoggin County,driving,NA,Maine,United States,2020-03-07,140.08
county,Androscoggin County,driving,NA,Maine,United States,2020-03-08,112.56
county,Androscoggin County,driving,NA,Maine,United States,2020-03-09,114.04
county,Androscoggin County,driving,NA,Maine,United States,2020-03-10,114.12
county,Androscoggin County,driving,NA,Maine,United States,2020-03-11,112.97
county,Androscoggin County,driving,NA,Maine,United States,2020-03-12,108.72
county,Androscoggin County,driving,NA,Maine,United States,2020-03-13,117.02
county,Androscoggin County,driving,NA,Maine,United States,2020-03-14,113.06
county,Androscoggin County,driving,NA,Maine,United States,2020-03-15,87.05
county,Androscoggin County,driving,NA,Maine,United States,2020-03-16,91.28
county,Androscoggin County,driving,NA,Maine,United States,2020-03-17,76.56
county,Androscoggin County,driving,NA,Maine,United States,2020-03-18,82.98
county,Androscoggin County,driving,NA,Maine,United States,2020-03-19,74.25
county,Androscoggin County,driving,NA,Maine,United States,2020-03-20,81.51
county,Androscoggin County,driving,NA,Maine,United States,2020-03-21,74.51
county,Androscoggin County,driving,NA,Maine,United States,2020-03-22,61.02
county,Androscoggin County,driving,NA,Maine,United States,2020-03-23,66.28
county,Androscoggin County,driving,NA,Maine,United States,2020-03-24,64.29
county,Androscoggin County,driving,NA,Maine,United States,2020-03-25,66.88
county,Androscoggin County,driving,NA,Maine,United States,2020-03-26,73.74
county,Androscoggin County,driving,NA,Maine,United States,2020-03-27,78.04
county,Androscoggin County,driving,NA,Maine,United States,2020-03-28,72.12
county,Androscoggin County,driving,NA,Maine,United States,2020-03-29,47.1
county,Androscoggin County,driving,NA,Maine,United States,2020-03-30,61.35
county,Androscoggin County,driving,NA,Maine,United States,2020-03-31,70.09
county,Androscoggin County,driving,NA,Maine,United States,2020-04-01,74.61
county,Androscoggin County,driving,NA,Maine,United States,2020-04-02,55.64
county,Androscoggin County,driving,NA,Maine,United States,2020-04-03,70.01
county,Androscoggin County,driving,NA,Maine,United States,2020-04-04,64.26
county,Androscoggin County,driving,NA,Maine,United States,2020-04-05,52.26
