geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Boston,driving,NA,Massachusetts,United States,2020-01-13,100
city,Boston,driving,NA,Massachusetts,United States,2020-01-14,102.84
city,Boston,driving,NA,Massachusetts,United States,2020-01-15,108.22
city,Boston,driving,NA,Massachusetts,United States,2020-01-16,109.17
city,Boston,driving,NA,Massachusetts,United States,2020-01-17,124.38
city,Boston,driving,NA,Massachusetts,United States,2020-01-18,102.86
city,Boston,driving,NA,Massachusetts,United States,2020-01-19,84.1
city,Boston,driving,NA,Massachusetts,United States,2020-01-20,96.18
city,Boston,driving,NA,Massachusetts,United States,2020-01-21,101.76
city,Boston,driving,NA,Massachusetts,United States,2020-01-22,102.08
city,Boston,driving,NA,Massachusetts,United States,2020-01-23,105.25
city,Boston,driving,NA,Massachusetts,United States,2020-01-24,121.47
city,Boston,driving,NA,Massachusetts,United States,2020-01-25,110.97
city,Boston,driving,NA,Massachusetts,United States,2020-01-26,85.57
city,Boston,driving,NA,Massachusetts,United States,2020-01-27,92.36
city,Boston,driving,NA,Massachusetts,United States,2020-01-28,97.64
city,Boston,driving,NA,Massachusetts,United States,2020-01-29,101.09
city,Boston,driving,NA,Massachusetts,United States,2020-01-30,104.86
city,Boston,driving,NA,Massachusetts,United States,2020-01-31,119.76
city,Boston,driving,NA,Massachusetts,United States,2020-02-01,111.52
city,Boston,driving,NA,Massachusetts,United States,2020-02-02,79.1
city,Boston,driving,NA,Massachusetts,United States,2020-02-03,92.4
city,Boston,driving,NA,Massachusetts,United States,2020-02-04,98.52
city,Boston,driving,NA,Massachusetts,United States,2020-02-05,100.31
city,Boston,driving,NA,Massachusetts,United States,2020-02-06,101.35
city,Boston,driving,NA,Massachusetts,United States,2020-02-07,118.91
city,Boston,driving,NA,Massachusetts,United States,2020-02-08,113.82
city,Boston,driving,NA,Massachusetts,United States,2020-02-09,86.95
city,Boston,driving,NA,Massachusetts,United States,2020-02-10,95.1
city,Boston,driving,NA,Massachusetts,United States,2020-02-11,102.03
city,Boston,driving,NA,Massachusetts,United States,2020-02-12,104.54
city,Boston,driving,NA,Massachusetts,United States,2020-02-13,108.95
city,Boston,driving,NA,Massachusetts,United States,2020-02-14,132.65
city,Boston,driving,NA,Massachusetts,United States,2020-02-15,115.01
city,Boston,driving,NA,Massachusetts,United States,2020-02-16,91.91
city,Boston,driving,NA,Massachusetts,United States,2020-02-17,96.23
city,Boston,driving,NA,Massachusetts,United States,2020-02-18,103.09
city,Boston,driving,NA,Massachusetts,United States,2020-02-19,106.54
city,Boston,driving,NA,Massachusetts,United States,2020-02-20,107.25
city,Boston,driving,NA,Massachusetts,United States,2020-02-21,121.26
city,Boston,driving,NA,Massachusetts,United States,2020-02-22,114.81
city,Boston,driving,NA,Massachusetts,United States,2020-02-23,88.86
city,Boston,driving,NA,Massachusetts,United States,2020-02-24,97.75
city,Boston,driving,NA,Massachusetts,United States,2020-02-25,102.46
city,Boston,driving,NA,Massachusetts,United States,2020-02-26,104.67
city,Boston,driving,NA,Massachusetts,United States,2020-02-27,112.25
city,Boston,driving,NA,Massachusetts,United States,2020-02-28,126.72
