geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Providence,driving,NA,Rhode Island,United States,2020-01-13,100
city,Providence,driving,NA,Rhode Island,United States,2020-01-14,107.8
city,Providence,driving,NA,Rhode Island,United States,2020-01-15,110.46
city,Providence,driving,NA,Rhode Island,United States,2020-01-16,113.48
city,Providence,driving,NA,Rhode Island,United States,2020-01-17,132.01
city,Providence,driving,NA,Rhode Island,United States,2020-01-18,108.5
city,Providence,driving,NA,Rhode Island,United States,2020-01-19,90.56
city,Providence,driving,NA,Rhode Island,United States,2020-01-20,97.57
city,Providence,driving,NA,Rhode Island,United States,2020-01-21,107.16
city,Providence,driving,NA,Rhode Island,United States,2020-01-22,106.95
city,Providence,driving,NA,Rhode Island,United States,2020-01-23,113.69
city,Providence,driving,NA,Rhode Island,United States,2020-01-24,132.94
city,Providence,driving,NA,Rhode Island,United States,2020-01-25,125.02
city,Providence,driving,NA,Rhode Island,United States,2020-01-26,89.65
city,Providence,driving,NA,Rhode Island,United States,2020-01-27,100.22
city,Providence,driving,NA,Rhode Island,United States,2020-01-28,102.17
city,Providence,driving,NA,Rhode Island,United States,2020-01-29,105.06
city,Providence,driving,NA,Rhode Island,United States,2020-01-30,108.34
city,Providence,driving,NA,Rhode Island,United States,2020-01-31,132.35
city,Providence,driving,NA,Rhode Island,United States,2020-02-01,124.76
city,Providence,driving,NA,Rhode Island,United States,2020-02-02,85.94
city,Providence,driving,NA,Rhode Island,United States,2020-02-03,97.52
city,Providence,driving,NA,Rhode Island,United States,2020-02-04,102.9
city,Providence,driving,NA,Rhode Island,United States,2020-02-05,107.02
city,Providence,driving,NA,Rhode Island,United States,2020-02-06,109.35
city,Providence,driving,NA,Rhode Island,United States,2020-02-07,127.91
city,Providence,driving,NA,Rhode Island,United States,2020-02-08,129.7
city,Providence,driving,NA,Rhode Island,United States,2020-02-09,92.83
city,Providence,driving,NA,Rhode Island,United States,2020-02-10,100.32
city,Providence,driving,NA,Rhode Island,United States,2020-02-11,106.69
city,Providence,driving,NA,Rhode Island,United States,2020-02-12,112.17
city,Providence,driving,NA,Rhode Island,United States,2020-02-13,119.36
city,Providence,driving,NA,Rhode Island,United States,2020-02-14,144.51
city,Providence,driving,NA,Rhode Island,United States,2020-02-15,130.68
city,Providence,driving,NA,Rhode Island,United States,2020-02-16,103.05
city,Providence,driving,NA,Rhode Island,United States,2020-02-17,109.04
city,Providence,driving,NA,Rhode Island,United States,2020-02-18,110.76
city,Providence,driving,NA,Rhode Island,United States,2020-02-19,117.29
city,Providence,driving,NA,Rhode Island,United States,2020-02-20,116.8
city,Providence,driving,NA,Rhode Island,United States,2020-02-21,139.54
city,Providence,driving,NA,Rhode Island,United States,2020-02-22,136.25
city,Providence,driving,NA,Rhode Island,United States,2020-02-23,100.01
city,Providence,driving,NA,Rhode Island,United States,2020-02-24,105.31
city,Providence,driving,NA,Rhode Island,United States,2020-02-25,107.43
city,Providence,driving,NA,Rhode Island,United States,2020-02-26,114.26
city,Providence,driving,NA,Rhode Island,United States,2020-02-27,121.37
city,Providence,driving,NA,Rhode Island,United States,2020-02-28,142.72
city,Providence,driving,NA,Rhode Island,United States,2020-02-29,137.15
city,Providence,driving,NA,Rhode Island,United States,2020-03-01,98.08
city,Providence,driving,NA,Rhode Island,United States,2020-03-02,106.37
city,Providence,driving,NA,Rhode Island,United States,2020-03-03,112.09
city,Providence,driving,NA,Rhode Island,United States,2020-03-04,114.12
city,Providence,driving,NA,Rhode Island,United States,2020-03-05,121.97
city,Providence,driving,NA,Rhode Island,United States,2020-03-06,132.65
city,Providence,driving,NA,Rhode Island,United States,2020-03-07,129.43
city,Providence,driving,NA,Rhode Island,United States,2020-03-08,97.97
city,Providence,driving,NA,Rhode Island,United States,2020-03-09,111.46
city,Providence,driving,NA,Rhode Island,United States,2020-03-10,113.35
city,Providence,driving,NA,Rhode Island,United States,2020-03-11,111.55
city,Providence,driving,NA,Rhode Island,United States,2020-03-12,105.01
city,Providence,driving,NA,Rhode Island,United States,2020-03-13,108.57
city,Providence,driving,NA,Rhode Island,United States,2020-03-14,99.04
city,Providence,driving,NA,Rhode Island,United States,2020-03-15,72.79
city,Providence,driving,NA,Rhode Island,United States,2020-03-16,79.44
city,Providence,driving,NA,Rhode Island,United States,2020-03-17,66.4
city,Providence,driving,NA,Rhode Island,United States,2020-03-18,69.87
city,Providence,driving,NA,Rhode Island,United States,2020-03-19,63.41
city,Providence,driving,NA,Rhode Island,United States,2020-03-20,73.63
city,Providence,driving,NA,Rhode Island,United States,2020-03-21,65.89
city,Providence,driving,NA,Rhode Island,United States,2020-03-22,48.77
city,Providence,driving,NA,Rhode Island,United States,2020-03-23,51.48
city,Providence,driving,NA,Rhode Island,United States,2020-03-24,56.45
city,Providence,driving,NA,Rhode Island,United States,2020-03-25,54.78
city,Providence,driving,NA,Rhode Island,United States,2020-03-26,61.05
city,Providence,driving,NA,Rhode Island,United States,2020-03-27,70.13
city,Providence,driving,NA,Rhode Island,United States,2020-03-28,59.83
city,Providence,driving,NA,Rhode Island,United States,2020-03-29,40.18
city,Providence,driving,NA,Rhode Island,United States,2020-03-30,50.36
city,Providence,driving,NA,Rhode Island,United States,2020-03-31,54.93
city,Providence,driving,NA,Rhode Island,United States,2020-04-01,54.91
city,Providence,driving,NA,Rhode Island,United States,2020-04-02,52.99
city,Providence,driving,NA,Rhode Island,United States,2020-04-03,58.98
